WWF_biome,total_count_c_protection_ch,mean_Rt_diff_1992_2020_c_protection_ch,stdev_Rt_diff_1992_2020_c_protection_ch,valid_count_Rt_diff_1992_2020_c_protection_ch,p5_Rt_diff_1992_2020_c_protection_ch,p95_Rt_diff_1992_2020_c_protection_ch,mean_Rt_nohab_all_diff_1992_2020_c_protection_ch,stdev_Rt_nohab_all_diff_1992_2020_c_protection_ch,valid_count_Rt_nohab_all_diff_1992_2020_c_protection_ch,p5_Rt_nohab_all_diff_1992_2020_c_protection_ch,p95_Rt_nohab_all_diff_1992_2020_c_protection_ch,mean_Rt_ratio_diff_1992_2020_c_protection_ch,stdev_Rt_ratio_diff_1992_2020_c_protection_ch,valid_count_Rt_ratio_diff_1992_2020_c_protection_ch,p5_Rt_ratio_diff_1992_2020_c_protection_ch,p95_Rt_ratio_diff_1992_2020_c_protection_ch,avg_n_export_diff_1992_2020_ha,stdev_n_export_diff_1992_2020_ha,valid_count_n_export_diff_1992_2020_ha,count_n_export_diff_1992_2020_ha,p5_n_export_diff_1992_2020_ha,p95_n_export_diff_1992_2020_ha,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_sediment_export_diff_1992_2020_ha,stdev_sediment_export_diff_1992_2020_ha,valid_count_sediment_export_diff_1992_2020_ha,count_sediment_export_diff_1992_2020_ha,p5_sediment_export_diff_1992_2020_ha,p95_sediment_export_diff_1992_2020_ha,avg_realized_polllination_on_ag_1992_2020_diff_ha,stdev_realized_polllination_on_ag_1992_2020_diff_ha,valid_count_realized_polllination_on_ag_1992_2020_diff_ha,count_realized_polllination_on_ag_1992_2020_diff_ha,p5_realized_polllination_on_ag_1992_2020_diff_ha,p95_realized_polllination_on_ag_1992_2020_diff_ha,avg_sediment_retention_ratio_diff_1992_2020,stdev_sediment_retention_ratio_diff_1992_2020,valid_count_sediment_retention_ratio_diff_1992_2020,count_sediment_retention_ratio_diff_1992_2020,p5_sediment_retention_ratio_diff_1992_2020,p95_sediment_retention_ratio_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020
Boreal Forests/Taiga,88049,0.0010508649357338,0.0329419363103284,88049,0.0,0.0,0.0,0.0,88049,0.0,0.0,-0.000364337561974,0.0109516040621865,88049,0.0,0.0,0.0028209653014331,0.2537230307561999,108071351,138197856,0.0,3.996991381427506e-06,-0.0019880549686922,0.0690384233280238,101740514,138197856,-0.0093553662300109,0.0082531780004497,0.0390776526463173,2.6186338215089857,111875054,138207185,-0.0003362014831509,0.0022021731710992,0.0046472575925062,0.356301848850646,2577665,321814351,-0.0275060042738914,0.0351959206163883,-0.0006006592552633,0.0588435848175614,100913671,138207185,-0.0069561600685119,0.0025775432586669,-260.6052046107864,22492.544348266,3047029,3092196,0.0,0.0
Deserts & Xeric Shrublands,82421,-0.0006415127484526,0.0436571088962417,82421,0.0,0.0,0.0,0.0,82421,0.0,0.0,0.0001692013898272,0.0150500336488604,82421,0.0,0.0,0.0212786625111752,0.9189207808638076,314444317,340238459,-0.0041981099173426,0.0001760548824677,0.0038762777624761,0.1227305102586314,150721381,340238459,-0.0326399803161621,0.0422798991203308,-0.2370887822111949,14.295763359015814,169064397,340237970,-0.0759999096393585,0.0106377266347407,0.0214774591810342,0.4739831325380706,12035643,340238071,-0.0185923868790268,0.063881754130125,0.001322482511354,0.0168142109253436,155591377,340237970,-0.0046181082725524,0.0143776535987854,-2241.4809726489534,172131.23183664502,6163128,6245652,0.0,0.0
Flooded Grasslands & Savannas,4789,0.0076011663738042,0.0631249105839488,4789,0.0,0.1187266996363411,0.0,0.0,4789,0.0,0.0,-0.002420414777726,0.0243583685743374,4789,-0.0652544480264349,0.0,0.0720582027979692,2.443493774416772,10720275,13050182,-0.293705129623413,0.4350431561470022,-0.0017520976306242,0.1057331341732928,8735265,13050182,-0.0509997367858886,0.0435463309288024,-0.0090559206455514,4.440524685793318,11288674,13050012,-0.0109933006111532,0.0191561136394738,0.0436404177580582,0.3983822057532242,1726771,13050020,-0.0294900946319103,0.2047061845660209,-0.0002234715449452,0.0307254622794317,9291612,13050012,-0.0078548192977905,0.006721344590187,-5092.020845109684,227259.07080785555,129143,130341,0.0,0.0
Lakes,0,,,0,,,,,0,,,,,0,,,0.0013738230410163,0.12243170547448,4986862,13327480,0.0,0.0006899808446178,0.0077451282076091,0.1301257593801167,831665,13327480,-0.0106440901756286,0.004103899002075,0.0442506947645171,3.704417410356795,545666,13327481,-2.71467160928296e-06,0.0019700806005857,-0.0038968602515088,0.1774440867101019,29818,15386530,-0.0015648726664949,0.0096747223287819,-0.0014821414990956,0.0112606965411789,260774,13327481,-0.0055798888206481,0.0015772193670272,-2649.077803287052,112002.71830962428,109764,220150,0.0,0.0
Mangroves,93595,0.000421414717708,0.0424287684230914,93595,0.0,0.0,0.0,0.0,93595,0.0,0.0,-0.000104378477771,0.015821739633788,93595,0.0,0.0,-0.0301444799558294,2.1574189756735755,1476776,3748812,-0.2421736530959606,0.36077581346035,-0.0028149079514332,0.1184769385093862,896294,3748812,-0.0680882066488265,0.048074984550476,-0.0195202627579745,5.245210925180206,1481299,3748584,-0.0953612126410007,0.0739498294889926,0.0105740467410652,0.1528907659242734,650970,3748713,-0.08609289675951,0.1390534155070778,0.0001532436351206,0.1159757543471047,1320958,3748584,-0.0103847384452819,0.0098702669143676,-4944.968338470159,310940.676842819,57104,70325,0.0,0.0
"Mediterranean Forests, Woodlands & Scrub",78870,-0.0088428311382405,0.0810641709986586,78870,-0.009995390157714,0.0,0.0,0.0,78870,0.0,0.0,0.0034266696034539,0.0301155220651013,78870,0.0,0.0031194861876523,0.175045813703617,3.3456584683086854,36886889,41754340,-0.1093657910823821,0.5439997315406799,-4.547837453486606e-05,0.1145978607161462,32920625,41754340,-0.0612773776054382,0.0477338671684259,-0.1606949816955844,14.606596063161746,36734579,41754386,-0.517032366991043,0.1646235361695295,0.0294218384889284,0.5941588968629931,11215776,41754553,-0.0951500330120325,0.2223832681775093,0.0003095674063345,0.0661810914683558,35229520,41754386,-0.0139750838279724,0.0159900784492492,-3279.1338261314527,188383.43254211656,648812,688322,0.0,0.0
Montane Grasslands & Shrublands,1534,0.0267787842375313,0.1176055687538864,1534,0.0,0.4103513401362519,0.0,0.0,1534,0.0,0.0,-0.0072728425749674,0.0323965013251135,1534,-0.1307447467776213,0.0,0.0473036006133945,2.169870668715971,61270838,64712740,-0.073132724314928,0.1278022229671478,0.0003745187856764,0.1240861493803118,56597962,64712740,-0.0467541217803955,0.0378009647130963,-0.3598849302000604,35.941942431678704,52966808,64712955,-1.3335140883922576,0.8393964320421197,0.0034606859073439,0.1361446705036785,5494124,64713298,-0.010078065097332,0.0142602287232875,0.0003391778387161,0.1566392291681031,50725026,64712955,-0.0115654468536376,0.0147905349731445,-4452.071176384711,204473.95399634747,1006907,1082954,0.0,0.0
Rock & Ice,8346,-5.065443380361655e-05,0.0111835754085837,8346,0.0,0.0,0.0,0.0,8346,0.0,0.0,1.5665557965207437e-05,0.0032001096288642,8346,0.0,0.0,-0.0019710088598225,0.0973080752400862,1967174,2137053,0.0,0.0,-0.0020871003813381,0.0718525140605206,1132525,2137053,-1.71661376953125e-05,0.0,1.2286391453681358,50.3071671108916,607045,2136967,-0.1899693369865417,0.7809185981750488,1.6471554615554053e-05,0.0046771753884296,1309,714527576,0.0,0.0,-0.0007738094958814,0.006370569193565,441251,2136967,-0.0070383548736572,0.002265989780426,-0.3314625016055459,61.30621092079415,72016,1670620,0.0,0.0
Temperate Broadleaf & Mixed Forests,198893,-0.0045143204656112,0.0583434298689491,198893,0.0,0.0,0.0,0.0,198893,0.0,0.0,0.0016041270017246,0.0205443349822487,198893,0.0,0.0,0.0367284832443912,4.97686250828981,170979971,190066319,-0.1182562783360481,0.4910559803247452,-0.0042862987514615,0.1047723695056582,160979738,190066319,-0.0522379964590072,0.030674397945404,0.1586134870380936,22.286885189293304,177633709,190066691,-0.1258615404367447,0.100374275445938,0.0314779265846873,0.5204427960567335,54836462,190349135,-0.1343103483319282,0.2426960319280624,-0.0004609606928195,0.099605577855956,165552653,190066691,-0.0131087899208068,0.0119198560714721,-7844.923084702588,324718.58115391125,2531304,2651332,0.0,0.0
Temperate Conifer Forests,72016,-0.0024265373759539,0.0310945726633926,72016,0.0,0.0,0.0,0.0,72016,0.0,0.0,0.0009768915098001,0.0116785849531267,72016,0.0,0.0,0.0380237385243986,1.5742683120554877,55782153,60926599,-7.922819577288464e-07,0.0559391565620893,-0.0009139352314416,0.0775638443549865,52967533,60926599,-0.016302865743637,0.0141078829765319,0.1388347201627862,26.917222507198257,56835275,60926949,-0.0976073242723941,0.1950574815273285,0.0215099691482564,0.4585393975274587,3700034,61476819,-0.127159371972084,0.2521865949034675,-0.001046416730334,0.1291922983036973,54372462,60926949,-0.0152225494384765,0.0072354674339294,-4482.4075163201705,151634.7764516763,613811,620549,0.0,0.0
