WWF_biome,min_pollination_diff_1992_2020,max_pollination_diff_1992_2020,count_pollination_diff_1992_2020,nodata_count_pollination_diff_1992_2020,valid_count_pollination_diff_1992_2020,sum_pollination_diff_1992_2020,stdev_pollination_diff_1992_2020,p5_pollination_diff_1992_2020,p95_pollination_diff_1992_2020,min_sed_ret_ratio_diff_1992_2020,max_sed_ret_ratio_diff_1992_2020,count_sed_ret_ratio_diff_1992_2020,nodata_count_sed_ret_ratio_diff_1992_2020,valid_count_sed_ret_ratio_diff_1992_2020,sum_sed_ret_ratio_diff_1992_2020,stdev_sed_ret_ratio_diff_1992_2020,p5_sed_ret_ratio_diff_1992_2020,p95_sed_ret_ratio_diff_1992_2020,min_sed_export_diff_1992_2020,max_sed_export_diff_1992_2020,count_sed_export_diff_1992_2020,nodata_count_sed_export_diff_1992_2020,valid_count_sed_export_diff_1992_2020,sum_sed_export_diff_1992_2020,stdev_sed_export_diff_1992_2020,p5_sed_export_diff_1992_2020,p95_sed_export_diff_1992_2020,min_coastal_risk_esa_diff_1992_2020,max_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,nodata_count_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,sum_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,min_usle_diff_1992_2020,max_usle_diff_1992_2020,count_usle_diff_1992_2020,nodata_count_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,sum_usle_diff_1992_2020,stdev_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,min_n_ret_ratio_diff_1992_2020,max_n_ret_ratio_diff_1992_2020,count_n_ret_ratio_diff_1992_2020,nodata_count_n_ret_ratio_diff_1992_2020,valid_count_n_ret_ratio_diff_1992_2020,sum_n_ret_ratio_diff_1992_2020,stdev_n_ret_ratio_diff_1992_2020,p5_n_ret_ratio_diff_1992_2020,p95_n_ret_ratio_diff_1992_2020,min_n_retention_diff_1992_2020,max_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,nodata_count_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,sum_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,min_nature_access_diff_1992_2020,max_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,nodata_count_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,sum_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,min_n_export_diff_1992_2020,max_n_export_diff_1992_2020,count_n_export_diff_1992_2020,nodata_count_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,sum_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Boreal Forests/Taiga,-25.891184,21.468353,321814351,579302,321235049,59344.14,0.15427166696952038,0.0,0.0,nan,nan,138207185,0,138207185,nan,nan,nan,nan,-9485.755,9719.778,138207185,26332131,111875054,2.4158038e+07,14.1909379254873,-0.001819194876588881,0.012223138194531191,-9.295665,7.005733,321809697,321649805,159892,-12231.891,0.7526674025246823,-1.1979528427124024,0.9685926884412763,-145587.38,86215.4,138207185,24525016,113682169,2.7142304e+08,139.72601842958508,0.0,0.0,nan,nan,138198383,0,138198383,nan,nan,nan,nan,-946.568,959.10315,138197856,30126505,108071351,3.456795e+06,6.776012058468289,0.0,1.9073486328125e-06,-5.557551e+06,1.6346501e+06,3092196,45167,3047029,-7.940716e+08,22492.544348265998,0.0,0.0,-438.6495,536.7603,138197856,30126505,108071351,1.9393628e+06,1.4939370802018892,0.0,2.2172927856445312e-05
Deserts & Xeric Shrublands,-331.57306,438.51733,340238071,245936,339992135,2.1766922e+06,0.7309819110591788,0.0,0.0,nan,nan,340237970,0,340237970,nan,nan,nan,nan,-83737.29,60397.984,340237970,171173573,169064397,-3.4103424e+08,126.80256227873723,-0.6080646753311156,0.0858436167240133,-3.4667575,3.9972036,340232960,340222031,10929,-104.4623,0.5238293844163979,-0.764142632484436,0.6555753707885751,-332423.0,310395.06,340237970,169315149,170922821,-1.4675497e+09,482.07836396389837,0.0,0.0,nan,nan,340239398,0,340239398,nan,nan,nan,nan,-7465.876,3658.2698,340238459,25794142,314444317,1.4184288e+08,25.53109319017526,-3.345310688018799e-06,0.3795509338378906,-3.0144624e+07,2.6905638e+07,6245652,82524,6163128,-1.3814534e+10,172131.23183664502,0.0,0.0,-2658.8657,2078.5684,340238459,25794142,314444317,5.1033024e+07,7.215349197150679,-0.03275299072265625,0.0014153257012367026
Flooded Grasslands & Savannas,-91.34213,128.32387,13050020,12232,13037788,592013.94,1.1518920443489482,0.0,0.0,nan,nan,13050012,0,13050012,nan,nan,nan,nan,-53855.19,11156.815,13050012,1761338,11288674,-780458.94,41.45747142140326,-0.08743910118937491,0.15035653710365282,-4.1178203,3.3085597,13049709,13047375,2334,-214.56912,0.4775483043261534,-0.6567254483699798,0.6903949201107024,-228704.42,286236.8,13050012,1582504,11467508,-265559.9,441.19294281802564,0.0,0.0,nan,nan,13050238,0,13050238,nan,nan,nan,nan,-3467.097,3861.5764,13050182,2329907,10720275,-1.6918411e+06,66.71613886402167,-5.454513168334961,4.37725296020507,-3.2684544e+07,3.9498038e+06,130341,1198,129143,-6.5759885e+08,227259.07080785555,0.0,0.0,-1529.9409,1756.9318,13050182,2329907,10720275,4.8946e+06,17.507555002944375,-2.488079071044922,3.593806362152092
Lakes,-16.558443,15.9347105,15386530,0,15386530,-820.83484,0.048285269217285855,0.0,0.0,nan,nan,13327481,0,13327481,nan,nan,nan,nan,-4080.0066,11445.174,13327481,12781815,545666,181741.7,33.70770394694914,-1.4521148841595277e-05,0.013647050596773624,,,15386526,15386526,0,0.0,,,,-99686.88,238894.92,13327481,12773637,553844,2.253789e+06,692.6454680755949,0.0,0.0,nan,nan,13327537,0,13327537,nan,nan,nan,nan,-848.54675,952.4055,13327480,8340618,4986862,121206.516,3.171313663715712,0.0,0.014329631254076988,-8.713581e+06,5.9552565e+06,220150,110386,109764,-2.9077338e+08,112002.71830962428,0.0,0.0,-387.71448,222.14296,13327480,8340618,4986862,51652.36,0.9014532761296888,0.0,0.00473224830348047
Mangroves,-50.156902,38.890755,3748713,242912,3505801,62987.03,0.6032087729102523,-0.0018717244965955615,0.0012007839977741241,nan,nan,3748584,0,3748584,nan,nan,nan,nan,-17523.422,24802.963,3748584,2267285,1481299,-277632.1,48.36102684164941,-0.8841555595397945,0.6866239070892329,-5.383806,5.538904,3748292,3675598,72694,-1679.4579,0.6410687295426919,-0.7295529931783675,0.6774781823158188,-232111.31,101797.055,3748584,911359,2837225,-2.2770112e+06,432.95370575899346,0.0,0.0,nan,nan,3748774,0,3748774,nan,nan,nan,nan,-1922.5204,1952.8524,3748812,2272036,1476776,-2.2274112e+06,101.11225296021904,-6.496993064880371,7.533047676086426,-1.7026442e+07,1.5273081e+07,70325,13221,57104,-2.8237747e+08,310940.676842819,0.0,0.0,-618.45917,581.4599,3748812,2272036,1476776,-412511.12,20.046402011892475,-2.2458940744400024,3.3257147073745728
"Mediterranean Forests, Woodlands & Scrub",-532.9941,507.4909,41754553,304983,41449570,2.555706e+06,2.3959554907693397,0.0,0.0,nan,nan,41754386,0,41754386,nan,nan,nan,nan,-51457.703,70795.41,41754386,5019807,36734579,-4.5170316e+07,109.11339314721339,-3.904725265502928,1.2605175018310604,-4.554185,5.0942407,41753896,41730750,23146,963.1083,0.7287457320841945,-0.6825788021087646,1.0687210857868195,-327257.22,222746.23,41754386,3037355,38717031,-2.486368e+08,570.9104054685962,0.0,0.0,nan,nan,41754403,0,41754403,nan,nan,nan,nan,-3658.3066,5786.467,41754340,4867451,36886889,7.137655e+07,80.65784380295386,-3.159384918212889,3.182037353515625,-1.4591288e+07,1.3336741e+07,688322,39510,648812,-2.1275414e+09,188383.43254211658,0.0,0.0,-1775.3169,2148.707,41754340,4867451,36886889,4.9755356e+07,25.3869278572483,-0.8432812690734863,4.218764400482208
Montane Grasslands & Shrublands,-122.31329,122.31329,64713298,1267,64712031,154182.08,0.3150974685367313,0.0,0.0,nan,nan,64712955,0,64712955,nan,nan,nan,nan,-133745.05,160281.25,64712955,11746147,52966808,-1.7596126e+08,300.5787417009096,-10.855224609375,6.7579345703125,-1.8244407,4.340423,64711972,64711778,194,34.523792,0.9118112420505413,-1.0949456691741943,0.935562014579773,-715738.1,1.2571844e+06,64712955,11645866,53067089,-5.2676397e+08,1485.781516347523,0.0,0.0,nan,nan,64713274,0,64713274,nan,nan,nan,nan,-4139.6313,4366.062,64712740,3441902,61270838,6.5118904e+07,44.512967341348535,-0.4064788818359375,1.5441595077514592,-1.2113899e+07,1.1085957e+07,1082954,76047,1006907,-4.4828216e+09,204473.95399634747,0.0,0.0,-2395.0496,2229.1055,64712740,3441902,61270838,2.1371074e+07,15.903866181853012,-0.592803955078125,0.9924409389495779
Rock & Ice,-0.32109317,0.4028375,714527576,639851753,74675823,-0.027451992,0.00015727554433480812,0.0,0.0,nan,nan,2136967,0,2136967,nan,nan,nan,nan,-42994.48,52183.81,2136967,1529922,607045,5.688817e+06,349.6327590442408,-1.5427795410156246,6.165447998046826,-1.0945122,2.9802322e-08,70161075,70161026,49,-3.9664922,0.24682158483632263,-0.7800322771072388,1.4901161193847656e-08,-160524.94,186927.88,2136967,1492780,644187,2.9530646e+07,1674.5904649785682,0.0,0.0,nan,nan,2137038,0,2137038,nan,nan,nan,nan,-209.6587,90.31147,2137053,169879,1967174,-160704.86,2.274709773183753,0.0,0.0,-14909.244,2220.3887,1670620,1598604,72016,-23870.604,61.30621092079415,0.0,0.0,-33.055187,31.342106,2137053,169879,1967174,-30768.242,0.7809117881849359,0.0,0.0
Temperate Broadleaf & Mixed Forests,-313.5155,328.96268,190349135,951264,189397871,1.2380383e+07,1.993359226349311,-0.004376309225335717,0.006613885052502155,nan,nan,190066691,0,190066691,nan,nan,nan,nan,-112705.89,131002.98,190066691,12432982,177633709,2.0696824e+08,175.64475289823488,-0.87261962890625,0.7108801603317243,-7.9155126,6.3068576,190345546,190218600,126946,-14760.911,0.6050071695313751,-0.9538213014602661,0.5674513578414917,-750122.7,774427.44,190066691,6492462,183574229,7.305358e+08,1002.331728125463,0.0,0.0,nan,nan,190066832,0,190066832,nan,nan,nan,nan,-3679.3494,3921.202,190066319,19086348,170979971,-7.541747e+08,129.10181393219543,-6.567476272583008,1.3513736724853516,-3.2007194e+07,2.3043778e+07,2651332,120028,2531304,-1.9857885e+10,324718.58115391125,0.0,0.0,-1832.8427,2000.9116,190066319,19086348,170979971,4.4400936e+07,36.24941063093962,-0.792391300201416,3.4076586961746216
Temperate Conifer Forests,-245.43065,100.86594,61476819,172908,61303911,564364.4,0.7811699712178344,0.0,0.0,nan,nan,60926949,0,60926949,nan,nan,nan,nan,-99039.36,114803.75,60926949,4091674,56835275,4.227564e+07,193.24162097882692,-0.6821556091308594,1.3175913572311266,-4.7385178,4.852397,61475191,61407465,67726,2978.159,0.6546785676502518,-0.9882805943489075,1.0124683380126953,-340205.34,595750.3,60926949,2171127,58755822,4.8464272e+08,1132.9900391842752,0.0,0.0,nan,nan,60926868,0,60926868,nan,nan,nan,nan,-2936.5334,3341.0967,60926599,5144446,55782153,5.9749104e+07,49.078636905271225,-3.814697265625e-05,0.2379966735839787,-1.4046915e+07,1.4313061e+07,620549,6738,613811,-2.751351e+09,151634.7764516763,0.0,0.0,-1303.372,1431.9042,60926599,5144446,55782153,1.42886e+07,11.315583164493177,-5.595246329903581e-06,0.3523408889770492
