WWF_biome,avg_pollination_diff_1992_2020,stdev_pollination_diff_1992_2020,valid_count_pollination_diff_1992_2020,count_pollination_diff_1992_2020,p5_pollination_diff_1992_2020,p95_pollination_diff_1992_2020,avg_sed_ret_ratio_diff_1992_2020,stdev_sed_ret_ratio_diff_1992_2020,valid_count_sed_ret_ratio_diff_1992_2020,count_sed_ret_ratio_diff_1992_2020,p5_sed_ret_ratio_diff_1992_2020,p95_sed_ret_ratio_diff_1992_2020,avg_sed_export_diff_1992_2020,stdev_sed_export_diff_1992_2020,valid_count_sed_export_diff_1992_2020,count_sed_export_diff_1992_2020,p5_sed_export_diff_1992_2020,p95_sed_export_diff_1992_2020,avg_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,avg_usle_diff_1992_2020,stdev_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,count_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,avg_n_ret_ratio_diff_1992_2020,stdev_n_ret_ratio_diff_1992_2020,valid_count_n_ret_ratio_diff_1992_2020,count_n_ret_ratio_diff_1992_2020,p5_n_ret_ratio_diff_1992_2020,p95_n_ret_ratio_diff_1992_2020,avg_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,avg_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,count_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Boreal Forests/Taiga,0.0001847374401072904,0.15427166696952038,321235049,321814351,0.0,0.0,nan,nan,138207185,138207185,nan,nan,0.21593766560327202,14.1909379254873,111875054,138207185,-0.001819194876588881,0.012223138194531191,-0.07650095455057164,0.7526674025246823,159892,321809697,-1.1979528427124024,0.9685926884412763,2.3875603569808734,139.72601842958508,113682169,138207185,0.0,0.0,nan,nan,138198383,138198383,nan,nan,0.03198622917187368,6.776012058468289,108071351,138197856,0.0,1.9073486328125e-06,-260.6052046107864,22492.544348265998,3047029,3092196,0.0,0.0,0.017945206866156416,1.4939370802018892,108071351,138197856,0.0,2.2172927856445312e-05
Deserts & Xeric Shrublands,0.006402184126994585,0.7309819110591788,339992135,340238071,0.0,0.0,nan,nan,340237970,340237970,nan,nan,-2.017185439699643,126.80256227873723,169064397,340237970,-0.6080646753311156,0.0858436167240133,-0.009558267285352832,0.5238293844163979,10929,340232960,-0.764142632484436,0.6555753707885751,-8.586037179903554,482.07836396389837,170922821,340237970,0.0,0.0,nan,nan,340239398,340239398,nan,nan,0.4510906139225916,25.53109319017526,314444317,340238459,-3.345310688018799e-06,0.3795509338378906,-2241.4809726489534,172131.23183664502,6163128,6245652,0.0,0.0,0.16229590182098919,7.215349197150679,314444317,340238459,-0.03275299072265625,0.0014153257012367026
Flooded Grasslands & Savannas,0.04540754440093672,1.1518920443489482,13037788,13050020,0.0,0.0,nan,nan,13050012,13050012,nan,nan,-0.0691364581437997,41.45747142140326,11288674,13050012,-0.08743910118937491,0.15035653710365282,-0.09193192901219072,0.4775483043261534,2334,13049709,-0.6567254483699798,0.6903949201107024,-0.023157595028492677,441.19294281802564,11467508,13050012,0.0,0.0,nan,nan,13050238,13050238,nan,nan,-0.15781695199050397,66.71613886402167,10720275,13050182,-5.454513168334961,4.37725296020507,-5092.020845109684,227259.07080785555,129143,130341,0.0,0.0,0.45657410840673396,17.507555002944375,10720275,13050182,-2.488079071044922,3.593806362152092
Lakes,-5.3347625414384366e-05,0.048285269217285855,15386530,15386530,0.0,0.0,nan,nan,13327481,13327481,nan,nan,0.33306400458338986,33.70770394694914,545666,13327481,-1.4521148841595277e-05,0.013647050596773624,,,0,15386526,,,4.069357075277515,692.6454680755949,553844,13327481,0.0,0.0,nan,nan,13327537,13327537,nan,nan,0.024305167382815084,3.171313663715712,4986862,13327480,0.0,0.014329631254076988,-2649.077803287052,112002.71830962428,109764,220150,0.0,0.0,0.010357687735293256,0.9014532761296888,4986862,13327480,0.0,0.00473224830348047
Mangroves,0.017966516425204967,0.6032087729102523,3505801,3748713,-0.0018717244965955615,0.0012007839977741241,nan,nan,3748584,3748584,nan,nan,-0.18742474932474806,48.36102684164941,1481299,3748584,-0.8841555595397945,0.6866239070892329,-0.023103115604344065,0.6410687295426919,72694,3748292,-0.7295529931783675,0.6774781823158188,-0.8025487051608526,432.95370575899346,2837225,3748584,0.0,0.0,nan,nan,3748774,3748774,nan,nan,-1.5082932347221245,101.11225296021904,1476776,3748812,-6.496993064880371,7.533047676086426,-4944.968338470159,310940.676842819,57104,70325,0.0,0.0,-0.2793322243860951,20.046402011892475,1476776,3748812,-2.2458940744400024,3.3257147073745728
"Mediterranean Forests, Woodlands & Scrub",0.061658202968088695,2.3959554907693397,41449570,41754553,0.0,0.0,nan,nan,41754386,41754386,nan,nan,-1.2296402253582381,109.11339314721339,36734579,41754386,-3.904725265502928,1.2605175018310604,0.041610138959957986,0.7287457320841945,23146,41753896,-0.6825788021087646,1.0687210857868195,-6.421897381542506,570.9104054685962,38717031,41754386,0.0,0.0,nan,nan,41754403,41754403,nan,nan,1.935011434550634,80.65784380295386,36886889,41754340,-3.159384918212889,3.182037353515625,-3279.1338261314527,188383.43254211658,648812,688322,0.0,0.0,1.3488628981424808,25.3869278572483,36886889,41754340,-0.8432812690734863,4.218764400482208
Montane Grasslands & Shrublands,0.002382587530362013,0.3150974685367313,64712031,64713298,0.0,0.0,nan,nan,64712955,64712955,nan,nan,-3.322104363925423,300.5787417009096,52966808,64712955,-10.855224609375,6.7579345703125,0.1779576920971428,0.9118112420505413,194,64711972,-1.0949456691741943,0.935562014579773,-9.926377683916296,1485.781516347523,53067089,64712955,0.0,0.0,nan,nan,64713274,64713274,nan,nan,1.0628042005888674,44.512967341348535,61270838,64712740,-0.4064788818359375,1.5441595077514592,-4452.071176384711,204473.95399634747,1006907,1082954,0.0,0.0,0.348796828925369,15.903866181853012,61270838,64712740,-0.592803955078125,0.9924409389495779
Rock & Ice,-3.676155271152768e-10,0.00015727554433480812,74675823,714527576,0.0,0.0,nan,nan,2136967,2136967,nan,nan,9.371326672651945,349.6327590442408,607045,2136967,-1.5427795410156246,6.165447998046826,-0.08094881991950834,0.24682158483632263,49,70161075,-0.7800322771072388,1.4901161193847656e-08,45.84172918733225,1674.5904649785682,644187,2136967,0.0,0.0,nan,nan,2137038,2137038,nan,nan,-0.08169326118330153,2.274709773183753,1967174,2137053,0.0,0.0,-0.33146250160554597,61.30621092079415,72016,1670620,0.0,0.0,-0.015640834103897265,0.7809117881849359,1967174,2137053,0.0,0.0
Temperate Broadleaf & Mixed Forests,0.06536706529293564,1.993359226349311,189397871,190349135,-0.004376309225335717,0.006613885052502155,nan,nan,190066691,190066691,nan,nan,1.165140564621099,175.64475289823488,177633709,190066691,-0.87261962890625,0.7108801603317243,-0.11627708736638019,0.6050071695313751,126946,190345546,-0.9538213014602661,0.5674513578414917,3.97951178648284,1002.331728125463,183574229,190066691,0.0,0.0,nan,nan,190066832,190066832,nan,nan,-4.410895121744991,129.10181393219543,170979971,190066319,-6.567476272583008,1.3513736724853516,-7844.923084702588,324718.58115391125,2531304,2651332,0.0,0.0,0.2596850130475224,36.24941063093962,170979971,190066319,-0.792391300201416,3.4076586961746216
Temperate Conifer Forests,0.009206009303386858,0.7811699712178344,61303911,61476819,0.0,0.0,nan,nan,60926949,60926949,nan,nan,0.7438274909376263,193.24162097882692,56835275,60926949,-0.6821556091308594,1.3175913572311266,0.04397364284834296,0.6546785676502518,67726,61475191,-0.9882805943489075,1.0124683380126953,8.248420386323588,1132.9900391842752,58755822,60926949,0.0,0.0,nan,nan,60926868,60926868,nan,nan,1.0711150571760828,49.078636905271225,55782153,60926599,-3.814697265625e-05,0.2379966735839787,-4482.4075163201705,151634.7764516763,613811,620549,0.0,0.0,0.2561500270525593,11.315583164493177,55782153,60926599,-5.595246329903581e-06,0.3523408889770492
"Temperate Grasslands, Savannas & Shrublands",0.017183791948301656,2.0821750309728206,149875287,150167972,0.0,0.0,nan,nan,150135749,150135749,nan,nan,-0.0669393392940367,56.44167373711403,146495575,150135749,-0.19517135620117188,0.16883479356765108,0.07278030081866768,0.5799179577852197,5011,150165589,-0.6929219961166382,0.9880627393722534,-0.029924918480376622,209.5583149527636,147688673,150135749,0.0,0.0,nan,nan,150136300,150136300,nan,nan,1.2746393709902417,49.69188281433483,140275598,150135878,-0.7591209411621094,1.8042223930358716,-1836.9275640659748,94202.3653156447,1786986,1800111,0.0,0.0,0.33063549656013586,12.849167967484796,140275598,150135878,-0.8413509011268612,1.2490244626998859
Tropical & Subtropical Coniferous Forests,0.02550472738663496,1.3810027368592621,8098264,8113319,0.0,0.0,nan,nan,8113401,8113401,nan,nan,3.8575554681805087,574.6481474741372,7958031,8113401,-8.365400314331055,21.688714027404785,0.10219223058119888,0.4504096245653959,4707,8113051,-0.3634861707687378,0.8482872426509855,-11.654969731322415,3368.2426524607476,8053705,8113401,0.0,22.539051437377687,nan,nan,8113514,8113514,nan,nan,3.19587144680856,95.89001728465446,7818429,8113495,-2.7107955932617185,5.250736999511716,-6449.885042312342,375089.8059944284,109188,110053,0.0,0.0,1.1769824858676852,21.973079733243093,7818429,8113495,-0.1407623291015625,1.967579174041746
Tropical & Subtropical Dry Broadleaf Forests,0.01264995327667606,1.2746040453137326,33102311,33294203,-0.014210192952305079,0.0,nan,nan,33294389,33294389,nan,nan,1.0433668828700469,284.28805259682474,31844553,33294389,-2.338528633117676,3.0147353172302225,0.14024794290105036,0.6686147631126842,20945,33293974,-0.4352712631225586,1.5825908184051514,-14.657994145669461,1858.7562893814713,32729276,33294389,0.0,0.0,nan,nan,33294713,33294713,nan,nan,-0.1921470450470822,78.91272093552901,30646935,33294924,-1.73590087890625,2.3029191970825025,-2062.7243348954794,153444.4790847073,670872,690779,0.0,0.0,0.3590073526112807,19.696370327320146,30646935,33294924,-0.203094482421875,1.5324540138244487
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0032349731077832844,0.4938577710047799,219944680,220068839,0.0,0.0,nan,nan,220068616,220068616,nan,nan,0.24192604921897617,89.91028933306009,206341269,220068616,-0.8797401666641234,1.1805212020874016,-0.04069199362272319,0.6200710110559211,19188,220065339,-1.1715788602828978,0.9444963455200135,-0.182012888451608,614.3414728353108,207437486,220068616,0.0,0.0,nan,nan,220069258,220069258,nan,nan,0.8334908190052425,24.92647855085316,207819964,220068135,-1.0171775817871094,4.431121826171875,-2021.3793542279882,115070.95439161645,4846726,4924564,0.0,0.0,0.10000566644309494,5.741998470500935,207819964,220068135,-2.1802690029144287,1.7654596209526048
Tropical & Subtropical Moist Broadleaf Forests,0.013605765835503188,1.8364326412122833,213702524,214480532,-2.8314308929111246e-05,0.0,nan,nan,214480611,214480611,nan,nan,5.143907159751074,509.28804313880823,205617372,214480611,-3.0217688083648646,6.8917388916015625,-0.06101139792319749,0.6839043683147161,199375,214477397,-0.9415871560573578,0.7451680898666382,18.989931291025542,2999.3572742471215,211309514,214480611,0.0,0.0,nan,nan,214474887,214474887,nan,nan,3.2394592475324213,107.71391027145215,197469797,214473933,-0.37646484375,4.955657958984375,-1400.3253328618018,186314.97517602783,4026596,4113520,0.0,0.0,0.8234275138288616,23.728410619878762,197469797,214473933,-0.017590618133544567,2.144999027252169
Tundra,-3.185590649504021e-07,0.005421526912237277,241879436,383627975,0.0,0.0,nan,nan,12676452,12676452,nan,nan,2.250860087410215,146.8612395653846,6418243,12676452,-0.3296609878540038,2.683502197265625,0.08992811528304062,0.7019357225194873,169163,235423449,-0.666480302810669,1.278442621231079,24.54150768227401,1158.305115626758,6614643,12676452,0.0,4.114145469665504,nan,nan,12670884,12670884,nan,nan,0.05352094997875602,2.7814513756445445,8101118,12676543,0.0,0.4342124938964673,-2.0947192737837996,662.8519354603615,1369840,2537704,0.0,0.0,0.000702592610616368,0.5404300065738395,8101118,12676543,0.0,0.026992321014404297
