WWF_biome,avg_sed_ret_ratio_diff_1992_2020,stdev_sed_ret_ratio_diff_1992_2020,valid_count_sed_ret_ratio_diff_1992_2020,count_sed_ret_ratio_diff_1992_2020,p5_sed_ret_ratio_diff_1992_2020,p95_sed_ret_ratio_diff_1992_2020,avg_sed_export_diff_1992_2020,stdev_sed_export_diff_1992_2020,valid_count_sed_export_diff_1992_2020,count_sed_export_diff_1992_2020,p5_sed_export_diff_1992_2020,p95_sed_export_diff_1992_2020,avg_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,avg_usle_diff_1992_2020,stdev_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,count_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,avg_polllination_diff_1992_2020,stdev_polllination_diff_1992_2020,valid_count_polllination_diff_1992_2020,count_polllination_diff_1992_2020,p5_polllination_diff_1992_2020,p95_polllination_diff_1992_2020,avg_n_ret_ratio_diff_1992_2020,stdev_n_ret_ratio_diff_1992_2020,valid_count_n_ret_ratio_diff_1992_2020,count_n_ret_ratio_diff_1992_2020,p5_n_ret_ratio_diff_1992_2020,p95_n_ret_ratio_diff_1992_2020,avg_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,avg_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,count_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Boreal Forests/Taiga,-0.0006187692583306315,0.00728490804121131,100913147,138207185,-0.0069561004638671875,0.0025772452354431152,0.21593766560327202,14.1909379254873,111875054,138207185,-0.001819194876588881,0.012223138194531191,-0.07650095455057164,0.7526674025246823,159892,321809697,-1.1979528427124024,0.9685926884412763,2.3875603569808734,139.72601842958508,113682169,138207185,0.0,0.0,0.023022441094944456,1.7220505656124874,2577665,321814351,-0.14341841638088224,0.17877089977264404,-0.0004752169076449659,0.03392698912130486,101929441,138198383,-5.900859832763672e-06,0.009073197841644287,0.03198622917187368,6.776012058468289,108071351,138197856,0.0,1.9073486328125e-06,-260.6052046107864,22492.544348265998,3047029,3092196,0.0,0.0,0.017945206866156416,1.4939370802018892,108071351,138197856,0.0,2.2172927856445312e-05
Deserts & Xeric Shrublands,nan,nan,155590983,340237970,-0.004624009132385254,0.014381170272827148,-2.017185439699643,126.80256227873723,169064397,340237970,-0.6080646753311156,0.0858436167240133,-0.009558267285352832,0.5238293844163979,10929,340232960,-0.764142632484436,0.6555753707885751,-8.586037179903554,482.07836396389837,170922821,340237970,0.0,0.0,0.18085383971591712,3.8810752047768866,12035643,340238071,-0.14850334376096727,0.5262636363506327,-0.0014357428120720284,0.07574361050519911,158503536,340239398,-0.018360570073127747,0.05158895254135132,0.4510906139225916,25.53109319017526,314444317,340238459,-3.345310688018799e-06,0.3795509338378906,-2241.4809726489534,172131.23183664502,6163128,6245652,0.0,0.0,0.16229590182098919,7.215349197150679,314444317,340238459,-0.03275299072265625,0.0014153257012367026
Flooded Grasslands & Savannas,-inf,nan,9291583,13050012,-0.007856363058090208,0.006721788644790672,-0.0691364581437997,41.45747142140326,11288674,13050012,-0.08743910118937491,0.15035653710365282,-0.09193192901219072,0.4775483043261534,2334,13049709,-0.6567254483699798,0.6903949201107024,-0.023157595028492677,441.19294281802564,11467508,13050012,0.0,0.0,0.3428444984887979,3.1490149635386677,1726771,13050020,-0.21531590819358826,1.509216070175171,-0.007779579575336089,0.0878756913530228,9456278,13050238,-0.05954575538635254,0.04718806147575383,-0.15781695199050397,66.71613886402167,10720275,13050182,-5.454513168334961,4.37725296020507,-5092.020845109684,227259.07080785555,129143,130341,0.0,0.0,0.45657410840673396,17.507555002944375,10720275,13050182,-2.488079071044922,3.593806362152092
Lakes,2.0514076604162454e+17,inf,260772,13327481,-0.005579769611358643,0.0015777349472045898,0.33306400458338986,33.70770394694914,545666,13327481,-1.4521148841595277e-05,0.013647050596773624,,,0,15386526,,,4.069357075277515,692.6454680755949,553844,13327481,0.0,0.0,-0.027528169593450266,1.096501397926876,29818,15386530,-0.01391984331421553,0.07648517191409955,-0.0055737348242488206,0.05965697150143792,327352,13327537,-0.03675364702939987,0.014574077725410462,0.024305167382815084,3.171313663715712,4986862,13327480,0.0,0.014329631254076988,-2649.077803287052,112002.71830962428,109764,220150,0.0,0.0,0.010357687735293256,0.9014532761296888,4986862,13327480,0.0,0.00473224830348047
Mangroves,-4.261669496705264e-05,0.011403283885954282,1320819,3748584,-0.010378122329711914,0.009859406948089566,-0.18742474932474806,48.36102684164941,1481299,3748584,-0.8841555595397945,0.6866239070892329,-0.023103115604344065,0.6410687295426919,72694,3748292,-0.7295529931783675,0.6774781823158188,-0.8025487051608526,432.95370575899346,2837225,3748584,0.0,0.0,0.09675872520047006,1.3971219656094092,650970,3748713,-0.7918336182832718,1.272937852144234,-0.0011073706553268938,0.0844309527265903,1373183,3748774,-0.05045257806777953,0.06111148595809934,-1.5082932347221245,101.11225296021904,1476776,3748812,-6.496993064880371,7.533047676086426,-4944.968338470159,310940.676842819,57104,70325,0.0,0.0,-0.2793322243860951,20.046402011892475,1476776,3748812,-2.2458940744400024,3.3257147073745728
"Mediterranean Forests, Woodlands & Scrub",nan,nan,35228974,41754386,-0.013992726802825928,0.015993714332580566,-1.2296402253582381,109.11339314721339,36734579,41754386,-3.904725265502928,1.2605175018310604,0.041610138959957986,0.7287457320841945,23146,41753896,-0.6825788021087646,1.0687210857868195,-6.421897381542506,570.9104054685962,38717031,41754386,0.0,0.0,0.22786706867184223,4.601888574928293,11215776,41754553,-0.7093797922134399,1.683408498764038,-0.0015877144304065546,0.0924358556300303,35220314,41754403,-0.09169747829437253,0.08706802129745483,1.935011434550634,80.65784380295386,36886889,41754340,-3.159384918212889,3.182037353515625,-3279.1338261314527,188383.43254211658,648812,688322,0.0,0.0,1.3488628981424808,25.3869278572483,36886889,41754340,-0.8432812690734863,4.218764400482208
Montane Grasslands & Shrublands,nan,nan,50724889,64712955,-0.011577308177947998,0.014792859554290771,-3.322104363925423,300.5787417009096,52966808,64712955,-10.855224609375,6.7579345703125,0.1779576920971428,0.9118112420505413,194,64711972,-1.0949456691741943,0.935562014579773,-9.926377683916296,1485.781516347523,53067089,64712955,0.0,0.0,0.028063083851037944,1.08107130729696,5494124,64713298,-0.08106676377356052,0.11754211038351059,-0.0005740803832676248,0.057708860068750124,57312198,64713274,-0.024879038333892822,0.04213327169418335,1.0628042005888674,44.512967341348535,61270838,64712740,-0.4064788818359375,1.5441595077514592,-4452.071176384711,204473.95399634747,1006907,1082954,0.0,0.0,0.348796828925369,15.903866181853012,61270838,64712740,-0.592803955078125,0.9924409389495779
Rock & Ice,-0.0007738130032412255,0.006370583418118473,441249,2136967,-0.007038390636444091,0.0022660255432128823,9.371326672651945,349.6327590442408,607045,2136967,-1.5427795410156246,6.165447998046826,-0.08094881991950834,0.24682158483632263,49,70161075,-0.7800322771072388,1.4901161193847656e-08,45.84172918733225,1674.5904649785682,644187,2136967,0.0,0.0,-2.0971728063340037e-05,0.03756482023096973,1309,714527576,0.0,0.0,-0.002005406540605315,0.027634003763497308,835648,2137038,-0.012757453322410581,5.960464477539063e-08,-0.08169326118330153,2.274709773183753,1967174,2137053,0.0,0.0,-0.33146250160554597,61.30621092079415,72016,1670620,0.0,0.0,-0.015640834103897265,0.7809117881849359,1967174,2137053,0.0,0.0
Temperate Broadleaf & Mixed Forests,nan,nan,165551535,190066691,-0.01313316822052002,0.011925756931304932,1.165140564621099,175.64475289823488,177633709,190066691,-0.87261962890625,0.7108801603317243,-0.11627708736638019,0.6050071695313751,126946,190345546,-0.9538213014602661,0.5674513578414917,3.97951178648284,1002.331728125463,183574229,190066691,0.0,0.0,0.22576917890873413,3.6996841542404497,54836462,190349135,-0.9068363308906555,1.7205582857131851,0.00045175913189208935,0.07723676804192497,168084334,190066832,-0.04706752300262451,0.06598621606826782,-4.410895121744991,129.10181393219543,170979971,190066319,-6.567476272583008,1.3513736724853516,-7844.923084702588,324718.58115391125,2531304,2651332,0.0,0.0,0.2596850130475224,36.24941063093962,170979971,190066319,-0.792391300201416,3.4076586961746216
Temperate Conifer Forests,nan,nan,54372082,60926949,-0.015226542949676514,0.007236659526824951,0.7438274909376263,193.24162097882692,56835275,60926949,-0.6821556091308594,1.3175913572311266,0.04397364284834296,0.6546785676502518,67726,61475191,-0.9882805943489075,1.0124683380126953,8.248420386323588,1132.9900391842752,58755822,60926949,0.0,0.0,0.15252951053963287,3.1762651371880533,3700034,61476819,-0.9466948002576827,1.8541135966777673,-0.002432583113468717,0.054310125596573076,54698054,60926868,-0.006009936332702637,0.016836225986480713,1.0711150571760828,49.078636905271225,55782153,60926599,-3.814697265625e-05,0.2379966735839787,-4482.4075163201705,151634.7764516763,613811,620549,0.0,0.0,0.2561500270525593,11.315583164493177,55782153,60926599,-5.595246329903581e-06,0.3523408889770492
