WWF_biome,avg_n_retention_ratio_2020,stdev_n_retention_ratio_2020,valid_count_n_retention_ratio_2020,count_n_retention_ratio_2020,p5_n_retention_ratio_2020,p95_n_retention_ratio_2020,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_sed_retention_ratio_2020,stdev_sed_retention_ratio_2020,valid_count_sed_retention_ratio_2020,count_sed_retention_ratio_2020,p5_sed_retention_ratio_2020,p95_sed_retention_ratio_2020,avg_sed_retention_ratio_1992,stdev_sed_retention_ratio_1992,valid_count_sed_retention_ratio_1992,count_sed_retention_ratio_1992,p5_sed_retention_ratio_1992,p95_sed_retention_ratio_1992,avg_n_retention_ratio_1992,stdev_n_retention_ratio_1992,valid_count_n_retention_ratio_1992,count_n_retention_ratio_1992,p5_n_retention_ratio_1992,p95_n_retention_ratio_1992,avg_sed_retention_ratio_diff_1992_2020,stdev_sed_retention_ratio_diff_1992_2020,valid_count_sed_retention_ratio_diff_1992_2020,count_sed_retention_ratio_diff_1992_2020,p5_sed_retention_ratio_diff_1992_2020,p95_sed_retention_ratio_diff_1992_2020
Boreal Forests/Taiga,0.87583274364328,0.19765723776544564,101821852,138197856,0.6329082638025285,0.9828358888626099,-0.0019880549686922162,0.06903842332802386,101740514,138197856,-0.009355366230010986,0.008253178000449779,0.9784901194396404,0.11111990604054663,101104792,138207185,0.9407114118337632,0.9943221211433411,0.9790908539406085,0.126288428864406,101211020,138207185,0.9436156719923019,0.9943773150444031,0.8776841923255786,0.19370345780457102,101904490,138197856,0.6954359292984009,0.9798842072486877,-0.0006006592552633428,0.058843584817561474,100913671,138207185,-0.006956160068511963,0.002577543258666992
Deserts & Xeric Shrublands,0.7581016459751281,0.2156333741500723,150817285,340238459,0.012506042234599592,0.992448627948761,0.003876277762476181,0.12273051025863146,150721381,340238459,-0.03263998031616211,0.04227989912033081,0.9118910075565956,0.0717808835679078,155639267,340237970,0.802768349647522,0.9720694422721863,0.9105642568736513,0.07486799129887936,155625911,340237970,0.8006287813186646,0.9717615246772766,0.7538812258502747,0.2231426558511199,151116367,340238459,0.009279626049101361,0.9990290403366089,0.0013224825113540837,0.016814210925343603,155591377,340237970,-0.00461810827255249,0.0143776535987854
Flooded Grasslands & Savannas,0.8418195022045696,0.20330749857484726,8753636,13050182,0.2791398912668228,0.986995130777359,-0.001752097630624257,0.10573313417329287,8735265,13050182,-0.05099973678588867,0.043546330928802446,0.9615152690971394,0.03874020196620873,9321671,13050012,0.8886550068855286,0.9941568374633789,0.9617877075581271,0.04788840342063132,9334614,13050012,0.8907054662704468,0.9941950440406799,0.843548262692984,0.20168600146577648,8777349,13050182,0.2949384987354279,0.9862946629524231,-0.00022347154494525547,0.030725462279431716,9291612,13050012,-0.007854819297790527,0.006721344590187028
Lakes,0.3478037554841562,0.42385854030304043,999698,13327480,0.0,1.0,0.0077451282076091334,0.13012575938011675,831665,13327480,-0.010644090175628654,0.004103899002075091,0.9663459446128849,0.05738839606981627,275732,13327481,0.8886213809251785,0.9937916398048401,0.9698685300630443,0.05176798868945164,262831,13327481,0.9084429740905762,0.9939095675945282,0.27602777066887346,0.42057862776477123,836197,13327480,0.0,1.0,-0.001482141499095601,0.011260696541178993,260774,13327481,-0.005579888820648193,0.0015772193670272813
Mangroves,0.8069331730982726,0.25788473812752033,900760,3748812,0.0,0.9970505267381669,-0.002814907951433207,0.1184769385093862,896294,3748812,-0.06808820664882659,0.04807498455047607,0.9661435962588202,0.19647302617843762,1327068,3748584,0.8952640116214752,0.9944356083869934,0.9659626187603679,0.2149806655553776,1326200,3748584,0.8936306357383728,0.9944759011268616,0.8099141669678352,0.2564837807366136,899275,3748812,0.0,0.9968673944473266,0.00015324363512066148,0.11597575434710476,1320958,3748584,-0.010384738445281982,0.009870266914367654
"Mediterranean Forests, Woodlands & Scrub",0.7487708186843268,0.2376281458366581,32953031,41754340,0.15768422186374664,0.9914211630821228,-4.547837453486606e-05,0.1145978607161462,32920625,41754340,-0.06127737760543822,0.04773386716842598,0.897268007219021,0.10327167381053634,35237465,41754386,0.772793710231781,0.9791717529296875,0.8969517008516302,0.11910306049910767,35244638,41754386,0.7710084915161133,0.9795281291007996,0.7487416377723792,0.23897407327225542,32971627,41754340,0.1546420007944107,0.9918092906475067,0.00030956740633458817,0.06618109146835584,35229520,41754386,-0.013975083827972412,0.015990078449249268
Montane Grasslands & Shrublands,0.7216721769984771,0.2564758083371942,56682612,64712740,0.0039344100747257475,0.9994907379150391,0.0003745187856764171,0.12408614938031189,56597962,64712740,-0.04675412178039551,0.03780096471309635,0.8779667134805136,0.06798812739714293,50737837,64712955,0.7500784397125244,0.9668036103248596,0.8776266510546276,0.17055147749493624,50742037,64712955,0.7491124749183655,0.9666979312896729,0.7212152410056699,0.25927109022701406,56736466,64712740,0.003859362390358001,0.9995127320289612,0.00033917783871613986,0.15663922916810316,50725026,64712955,-0.011565446853637695,0.014790534973144531
Rock & Ice,0.4845901613291979,0.42640051301681303,1132653,2137053,0.0,1.0,-0.0020871003813381604,0.07185251406052064,1132525,2137053,-1.71661376953125e-05,0.0,0.8719561991814646,0.08064939122990111,441276,2136967,0.758603647351265,0.9581890851259232,0.8727358397054659,0.08052034950493847,441375,2136967,0.7594989776611328,0.9584659337997437,0.4866143000918144,0.4263539379825311,1132720,2137053,0.0,1.0,-0.000773809495881454,0.006370569193565034,441251,2136967,-0.0070383548736572266,0.0022659897804260254
Temperate Broadleaf & Mixed Forests,0.8013290073498094,0.2256732127640185,161051931,190066319,0.19693037867546082,0.9939230680465698,-0.004286298751461504,0.1047723695056582,160979738,190066319,-0.05223799645900723,0.030674397945404053,0.9350931493172204,0.2515455004020635,165612164,190066691,0.8148649334907532,0.9921221137046814,0.9355591231111667,0.26559494937673966,165660269,190066691,0.8143322467803955,0.9922053813934326,0.8055898234179498,0.22046670409326619,161086305,190066319,0.2170800268650055,0.9937424659729004,-0.0004609606928195829,0.09960557785595602,165552653,190066691,-0.013108789920806885,0.011919856071472168
Temperate Conifer Forests,0.8426735124140825,0.19227645028449808,53011207,60926599,0.3805930107831955,0.9813343107700345,-0.0009139352314416834,0.07756384435498653,52967533,60926599,-0.016302865743637082,0.014107882976531982,0.9437319579072184,0.14376312480251885,54385667,60926949,0.8362935781478882,0.9900565147399902,0.9447982757814554,0.18357791232338694,54431615,60926949,0.8359128832817078,0.9904323816299438,0.8435752222957902,0.19174755025619059,53054536,60926599,0.3888357877731323,0.9798398017883301,-0.0010464167303340063,0.12919229830369736,54372462,60926949,-0.015222549438476562,0.007235467433929443
