WWF_biome,avg_n_export_diff_1992_2020_ha,stdev_n_export_diff_1992_2020_ha,valid_count_n_export_diff_1992_2020_ha,count_n_export_diff_1992_2020_ha,p5_n_export_diff_1992_2020_ha,p95_n_export_diff_1992_2020_ha,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_sed_export_diff_1992_2020_ha,stdev_sed_export_diff_1992_2020_ha,valid_count_sed_export_diff_1992_2020_ha,count_sed_export_diff_1992_2020_ha,p5_sed_export_diff_1992_2020_ha,p95_sed_export_diff_1992_2020_ha,avg_realized_polllination_on_ag_1992_2020_diff_ha,stdev_realized_polllination_on_ag_1992_2020_diff_ha,valid_count_realized_polllination_on_ag_1992_2020_diff_ha,count_realized_polllination_on_ag_1992_2020_diff_ha,p5_realized_polllination_on_ag_1992_2020_diff_ha,p95_realized_polllination_on_ag_1992_2020_diff_ha,avg_sed_retention_ratio_diff_1992_2020,stdev_sed_retention_ratio_diff_1992_2020,valid_count_sed_retention_ratio_diff_1992_2020,count_sed_retention_ratio_diff_1992_2020,p5_sed_retention_ratio_diff_1992_2020,p95_sed_retention_ratio_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020
Boreal Forests/Taiga,0.0028209653014331245,0.25372303075619995,108071351,138197856,0.0,3.996991381427506e-06,-0.0019880549686922162,0.06903842332802386,101740514,138197856,-0.009355366230010986,0.008253178000449779,,,0,138207185,,,0.004647257592506202,0.35630184885064603,2577665,321814351,-0.02750600427389145,0.03519592061638832,-0.0006006592552633428,0.058843584817561474,100913671,138207185,-0.006956160068511963,0.002577543258666992,-260.6052046107864,22492.544348265998,3047029,3092196,0.0,0.0
Deserts & Xeric Shrublands,0.02127866251117523,0.9189207808638077,314444317,340238459,-0.004198109917342659,0.00017605488246772057,0.003876277762476181,0.12273051025863146,150721381,340238459,-0.03263998031616211,0.04227989912033081,,,0,340237970,,,0.0214774591810342,0.4739831325380706,12035643,340238071,-0.01859238687902689,0.06388175413012508,0.0013224825113540837,0.016814210925343603,155591377,340237970,-0.00461810827255249,0.0143776535987854,-2241.4809726489534,172131.23183664502,6163128,6245652,0.0,0.0
Flooded Grasslands & Savannas,0.07205820279796926,2.443493774416772,10720275,13050182,-0.29370512962341305,0.4350431561470022,-0.001752097630624257,0.10573313417329287,8735265,13050182,-0.05099973678588867,0.043546330928802446,,,0,13050012,,,0.04364041775805825,0.3983822057532242,1726771,13050020,-0.029490094631910324,0.20470618456602097,-0.00022347154494525547,0.030725462279431716,9291612,13050012,-0.007854819297790527,0.006721344590187028,-5092.020845109684,227259.07080785555,129143,130341,0.0,0.0
Lakes,0.0013738230410163246,0.12243170547448,4986862,13327480,0.0,0.0006899808446178223,0.0077451282076091334,0.13012575938011675,831665,13327480,-0.010644090175628654,0.004103899002075091,,,0,13327481,,,-0.0038968602515088934,0.17744408671010195,29818,15386530,-0.0015648726664949208,0.009674722328781957,-0.001482141499095601,0.011260696541178993,260774,13327481,-0.005579888820648193,0.0015772193670272813,-2649.077803287052,112002.71830962428,109764,220150,0.0,0.0
Mangroves,-0.030144479955829456,2.1574189756735755,1476776,3748812,-0.24217365309596062,0.36077581346035004,-0.002814907951433207,0.1184769385093862,896294,3748812,-0.06808820664882659,0.04807498455047607,,,0,3748584,,,0.010574046741065256,0.15289076592427342,650970,3748713,-0.08609289675951004,0.13905341550707787,0.00015324363512066148,0.11597575434710476,1320958,3748584,-0.010384738445281982,0.009870266914367654,-4944.968338470159,310940.676842819,57104,70325,0.0,0.0
"Mediterranean Forests, Woodlands & Scrub",0.17504581370361702,3.3456584683086854,36886889,41754340,-0.10936579108238217,0.5439997315406799,-4.547837453486606e-05,0.1145978607161462,32920625,41754340,-0.06127737760543822,0.04773386716842598,,,0,41754386,,,0.029421838488928452,0.5941588968629931,11215776,41754553,-0.09515003301203251,0.2223832681775093,0.00030956740633458817,0.06618109146835584,35229520,41754386,-0.013975083827972412,0.015990078449249268,-3279.1338261314527,188383.43254211658,648812,688322,0.0,0.0
Montane Grasslands & Shrublands,0.04730360061339458,2.169870668715971,61270838,64712740,-0.07313272431492804,0.12780222296714783,0.0003745187856764171,0.12408614938031189,56597962,64712740,-0.04675412178039551,0.03780096471309635,,,0,64712955,,,0.0034606859073439186,0.13614467050367857,5494124,64713298,-0.010078065097332,0.014260228723287582,0.00033917783871613986,0.15663922916810316,50725026,64712955,-0.011565446853637695,0.014790534973144531,-4452.071176384711,204473.95399634747,1006907,1082954,0.0,0.0
Rock & Ice,-0.001971008859822517,0.09730807524008628,1967174,2137053,0.0,0.0,-0.0020871003813381604,0.07185251406052064,1132525,2137053,-1.71661376953125e-05,0.0,,,0,2136967,,,1.6471554615554053e-05,0.004677175388429652,1309,714527576,0.0,0.0,-0.000773809495881454,0.006370569193565034,441251,2136967,-0.0070383548736572266,0.0022659897804260254,-0.33146250160554597,61.30621092079415,72016,1670620,0.0,0.0
Temperate Broadleaf & Mixed Forests,0.03672848324439124,4.97686250828981,170979971,190066319,-0.11825627833604813,0.4910559803247452,-0.004286298751461504,0.1047723695056582,160979738,190066319,-0.05223799645900723,0.030674397945404053,,,0,190066691,,,0.03147792658468739,0.5204427960567335,54836462,190349135,-0.13431034833192823,0.24269603192806244,-0.0004609606928195829,0.09960557785595602,165552653,190066691,-0.013108789920806885,0.011919856071472168,-7844.923084702588,324718.58115391125,2531304,2651332,0.0,0.0
Temperate Conifer Forests,0.03802373852439866,1.5742683120554877,55782153,60926599,-7.922819577288464e-07,0.05593915656208934,-0.0009139352314416834,0.07756384435498653,52967533,60926599,-0.016302865743637082,0.014107882976531982,,,0,60926949,,,0.021509969148256477,0.4585393975274587,3700034,61476819,-0.12715937197208405,0.25218659490346756,-0.0010464167303340063,0.12919229830369736,54372462,60926949,-0.015222549438476562,0.007235467433929443,-4482.4075163201705,151634.7764516763,613811,620549,0.0,0.0
