WWF_biome,avg_sed_export_diff_1992_2020_ha,stdev_sed_export_diff_1992_2020_ha,valid_count_sed_export_diff_1992_2020_ha,count_sed_export_diff_1992_2020_ha,p5_sed_export_diff_1992_2020_ha,p95_sed_export_diff_1992_2020_ha
Boreal Forests/Taiga,0.03907765264631738,2.6186338215089857,111875054,138207185,-0.0003362014831509441,0.0022021731710992684
Deserts & Xeric Shrublands,-0.23708878221119495,14.295763359015814,169064397,340237970,-0.07599990963935851,0.010637726634740774
Flooded Grasslands & Savannas,-0.009055920645551462,4.440524685793318,11288674,13050012,-0.010993300611153245,0.019156113639473824
Lakes,0.04425069476451712,3.704417410356795,545666,13327481,-2.7146716092829593e-06,0.0019700806005857885
Mangroves,-0.01952026275797459,5.245210925180206,1481299,3748584,-0.09536121264100073,0.07394982948899263
"Mediterranean Forests, Woodlands & Scrub",-0.16069498169558444,14.606596063161746,36734579,41754386,-0.517032366991043,0.16462353616952952
Montane Grasslands & Shrublands,-0.3598849302000604,35.941942431678704,52966808,64712955,-1.3335140883922576,0.8393964320421197
Rock & Ice,1.2286391453681358,50.3071671108916,607045,2136967,-0.18996933698654175,0.7809185981750488
Temperate Broadleaf & Mixed Forests,0.15861348703809366,22.286885189293304,177633709,190066691,-0.1258615404367447,0.10037427544593802
Temperate Conifer Forests,0.13883472016278622,26.917222507198257,56835275,60926949,-0.09760732427239413,0.1950574815273285
"Temperate Grasslands, Savannas & Shrublands",-0.009914114300039438,7.733511059089201,146495575,150135749,-0.02880484238266945,0.02486932836472988
Tropical & Subtropical Coniferous Forests,0.45048542786525964,66.56029535229219,7958031,8113401,-0.9603391289710999,2.4640454053878784
Tropical & Subtropical Dry Broadleaf Forests,0.11388645492998442,30.700807551962637,31844553,33294389,-0.25834535956382754,0.3298692405223844
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.026548370699416412,9.705535598975834,206341269,220068616,-0.09587598294019699,0.12948041558265677
Tropical & Subtropical Moist Broadleaf Forests,0.5593217289052794,55.51500495847284,205617372,214480611,-0.33456962108612043,0.7489208459854098
Tundra,0.41975288252563825,28.18899578787899,6418243,12676452,-0.06282463818788528,0.5058388888835887
