WWF_biome,avg_sediment_retention_ratio_diff_1992_2020,stdev_sediment_retention_ratio_diff_1992_2020,valid_count_sediment_retention_ratio_diff_1992_2020,count_sediment_retention_ratio_diff_1992_2020,p5_sediment_retention_ratio_diff_1992_2020,p95_sediment_retention_ratio_diff_1992_2020,avg_sediment_export_diff_1992_2020,stdev_sediment_export_diff_1992_2020,valid_count_sediment_export_diff_1992_2020,count_sediment_export_diff_1992_2020,p5_sediment_export_diff_1992_2020,p95_sediment_export_diff_1992_2020,avg_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,avg_usle_diff_1992_2020,stdev_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,count_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,avg_polllination_diff_1992_2020,stdev_polllination_diff_1992_2020,valid_count_polllination_diff_1992_2020,count_polllination_diff_1992_2020,p5_polllination_diff_1992_2020,p95_polllination_diff_1992_2020,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,avg_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,count_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Boreal Forests/Taiga,-0.0006006592552633,0.0588435848175614,100913671,138207185,-0.0069561600685119,0.0025775432586669,0.215937665603272,14.1909379254873,111875054,138207185,-0.0018191948765888,0.0122231381945311,-0.0765009545505716,0.7526674025246823,159892,321809697,-1.1979528427124024,0.9685926884412764,2.387560356980873,139.72601842958508,113682169,138207185,0.0,0.0,0.0230224410949444,1.7220505656124874,2577665,321814351,-0.1434184163808822,0.178770899772644,-0.0019880549686922,0.0690384233280238,101740514,138197856,-0.0093553662300109,0.0082531780004497,0.0319862291718736,6.776012058468289,108071351,138197856,0.0,1.9073486328125e-06,-260.6052046107864,22492.544348266,3047029,3092196,0.0,0.0,0.0179452068661564,1.4939370802018892,108071351,138197856,0.0,2.2172927856445312e-05
Deserts & Xeric Shrublands,0.001322482511354,0.0168142109253436,155591377,340237970,-0.0046181082725524,0.0143776535987854,-2.017185439699643,126.80256227873724,169064397,340237970,-0.6080646753311156,0.0858436167240133,-0.0095582672853528,0.5238293844163979,10929,340232960,-0.764142632484436,0.6555753707885751,-8.586037179903554,482.0783639638984,170922821,340237970,0.0,0.0,0.1808538397159171,3.881075204776887,12035643,340238071,-0.1485033437609672,0.5262636363506327,0.0038762777624761,0.1227305102586314,150721381,340238459,-0.0326399803161621,0.0422798991203308,0.4510906139225916,25.53109319017526,314444317,340238459,-3.345310688018799e-06,0.3795509338378906,-2241.4809726489534,172131.23183664502,6163128,6245652,0.0,0.0,0.1622959018209891,7.215349197150679,314444317,340238459,-0.0327529907226562,0.0014153257012367
Flooded Grasslands & Savannas,-0.0002234715449452,0.0307254622794317,9291612,13050012,-0.0078548192977905,0.006721344590187,-0.0691364581437997,41.45747142140326,11288674,13050012,-0.0874391011893749,0.1503565371036528,-0.0919319290121907,0.4775483043261534,2334,13049709,-0.6567254483699798,0.6903949201107024,-0.0231575950284926,441.1929428180256,11467508,13050012,0.0,0.0,0.3428444984887979,3.149014963538668,1726771,13050020,-0.2153159081935882,1.509216070175171,-0.0017520976306242,0.1057331341732928,8735265,13050182,-0.0509997367858886,0.0435463309288024,-0.1578169519905039,66.71613886402167,10720275,13050182,-5.454513168334961,4.37725296020507,-5092.020845109684,227259.07080785555,129143,130341,0.0,0.0,0.4565741084067339,17.507555002944375,10720275,13050182,-2.488079071044922,3.593806362152092
Lakes,-0.0014821414990956,0.0112606965411789,260774,13327481,-0.0055798888206481,0.0015772193670272,0.3330640045833898,33.70770394694914,545666,13327481,-1.4521148841595275e-05,0.0136470505967736,,,0,15386526,,,4.069357075277515,692.6454680755949,553844,13327481,0.0,0.0,-0.0275281695934502,1.096501397926876,29818,15386530,-0.0139198433142155,0.0764851719140995,0.0077451282076091,0.1301257593801167,831665,13327480,-0.0106440901756286,0.004103899002075,0.024305167382815,3.171313663715712,4986862,13327480,0.0,0.0143296312540769,-2649.077803287052,112002.71830962428,109764,220150,0.0,0.0,0.0103576877352932,0.9014532761296888,4986862,13327480,0.0,0.0047322483034804
Mangroves,0.0001532436351206,0.1159757543471047,1320958,3748584,-0.0103847384452819,0.0098702669143676,-0.187424749324748,48.36102684164941,1481299,3748584,-0.8841555595397945,0.6866239070892329,-0.023103115604344,0.6410687295426919,72694,3748292,-0.7295529931783675,0.6774781823158188,-0.8025487051608526,432.9537057589935,2837225,3748584,0.0,0.0,0.09675872520047,1.3971219656094092,650970,3748713,-0.7918336182832718,1.272937852144234,-0.0028149079514332,0.1184769385093862,896294,3748812,-0.0680882066488265,0.048074984550476,-1.5082932347221245,101.11225296021904,1476776,3748812,-6.496993064880371,7.533047676086426,-4944.968338470159,310940.676842819,57104,70325,0.0,0.0,-0.2793322243860951,20.046402011892475,1476776,3748812,-2.2458940744400024,3.3257147073745728
"Mediterranean Forests, Woodlands & Scrub",0.0003095674063345,0.0661810914683558,35229520,41754386,-0.0139750838279724,0.0159900784492492,-1.229640225358238,109.1133931472134,36734579,41754386,-3.904725265502928,1.2605175018310604,0.0416101389599579,0.7287457320841945,23146,41753896,-0.6825788021087646,1.0687210857868197,-6.421897381542506,570.9104054685962,38717031,41754386,0.0,0.0,0.2278670686718422,4.601888574928293,11215776,41754553,-0.7093797922134399,1.683408498764038,-4.547837453486606e-05,0.1145978607161462,32920625,41754340,-0.0612773776054382,0.0477338671684259,1.935011434550634,80.65784380295386,36886889,41754340,-3.159384918212889,3.182037353515625,-3279.1338261314527,188383.43254211656,648812,688322,0.0,0.0,1.3488628981424808,25.3869278572483,36886889,41754340,-0.8432812690734863,4.218764400482208
Montane Grasslands & Shrublands,0.0003391778387161,0.1566392291681031,50725026,64712955,-0.0115654468536376,0.0147905349731445,-3.322104363925423,300.5787417009096,52966808,64712955,-10.855224609375,6.7579345703125,0.1779576920971428,0.9118112420505412,194,64711972,-1.0949456691741943,0.935562014579773,-9.926377683916296,1485.781516347523,53067089,64712955,0.0,0.0,0.0280630838510379,1.08107130729696,5494124,64713298,-0.0810667637735605,0.1175421103835105,0.0003745187856764,0.1240861493803118,56597962,64712740,-0.0467541217803955,0.0378009647130963,1.0628042005888674,44.512967341348535,61270838,64712740,-0.4064788818359375,1.5441595077514592,-4452.071176384711,204473.95399634747,1006907,1082954,0.0,0.0,0.348796828925369,15.903866181853012,61270838,64712740,-0.592803955078125,0.992440938949578
Rock & Ice,-0.0007738094958814,0.006370569193565,441251,2136967,-0.0070383548736572,0.002265989780426,9.371326672651945,349.6327590442408,607045,2136967,-1.5427795410156246,6.165447998046826,-0.0809488199195083,0.2468215848363226,49,70161075,-0.7800322771072388,1.4901161193847656e-08,45.84172918733225,1674.5904649785682,644187,2136967,0.0,0.0,-2.097172806334004e-05,0.0375648202309697,1309,714527576,0.0,0.0,-0.0020871003813381,0.0718525140605206,1132525,2137053,-1.71661376953125e-05,0.0,-0.0816932611833015,2.274709773183753,1967174,2137053,0.0,0.0,-0.3314625016055459,61.30621092079415,72016,1670620,0.0,0.0,-0.0156408341038972,0.7809117881849359,1967174,2137053,0.0,0.0
Temperate Broadleaf & Mixed Forests,-0.0004609606928195,0.099605577855956,165552653,190066691,-0.0131087899208068,0.0119198560714721,1.165140564621099,175.64475289823488,177633709,190066691,-0.87261962890625,0.7108801603317243,-0.1162770873663801,0.6050071695313751,126946,190345546,-0.953821301460266,0.5674513578414917,3.97951178648284,1002.331728125463,183574229,190066691,0.0,0.0,0.2257691789087341,3.6996841542404497,54836462,190349135,-0.9068363308906556,1.7205582857131851,-0.0042862987514615,0.1047723695056582,160979738,190066319,-0.0522379964590072,0.030674397945404,-4.410895121744991,129.10181393219543,170979971,190066319,-6.567476272583008,1.3513736724853516,-7844.923084702588,324718.58115391125,2531304,2651332,0.0,0.0,0.2596850130475224,36.24941063093962,170979971,190066319,-0.792391300201416,3.4076586961746216
Temperate Conifer Forests,-0.001046416730334,0.1291922983036973,54372462,60926949,-0.0152225494384765,0.0072354674339294,0.7438274909376263,193.2416209788269,56835275,60926949,-0.6821556091308594,1.3175913572311266,0.0439736428483429,0.6546785676502518,67726,61475191,-0.9882805943489076,1.012468338012695,8.248420386323588,1132.9900391842752,58755822,60926949,0.0,0.0,0.1525295105396328,3.1762651371880533,3700034,61476819,-0.9466948002576828,1.8541135966777675,-0.0009139352314416,0.0775638443549865,52967533,60926599,-0.016302865743637,0.0141078829765319,1.0711150571760828,49.078636905271225,55782153,60926599,-3.814697265625e-05,0.2379966735839787,-4482.4075163201705,151634.7764516763,613811,620549,0.0,0.0,0.2561500270525593,11.315583164493177,55782153,60926599,-5.595246329903581e-06,0.3523408889770492
