nev_name,min_pollination_diff_1992_2020,max_pollination_diff_1992_2020,count_pollination_diff_1992_2020,nodata_count_pollination_diff_1992_2020,valid_count_pollination_diff_1992_2020,sum_pollination_diff_1992_2020,stdev_pollination_diff_1992_2020,p5_pollination_diff_1992_2020,p95_pollination_diff_1992_2020,min_sed_ret_ratio_diff_1992_2020,max_sed_ret_ratio_diff_1992_2020,count_sed_ret_ratio_diff_1992_2020,nodata_count_sed_ret_ratio_diff_1992_2020,valid_count_sed_ret_ratio_diff_1992_2020,sum_sed_ret_ratio_diff_1992_2020,stdev_sed_ret_ratio_diff_1992_2020,p5_sed_ret_ratio_diff_1992_2020,p95_sed_ret_ratio_diff_1992_2020,min_sed_export_diff_1992_2020,max_sed_export_diff_1992_2020,count_sed_export_diff_1992_2020,nodata_count_sed_export_diff_1992_2020,valid_count_sed_export_diff_1992_2020,sum_sed_export_diff_1992_2020,stdev_sed_export_diff_1992_2020,p5_sed_export_diff_1992_2020,p95_sed_export_diff_1992_2020,min_coastal_risk_esa_diff_1992_2020,max_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,nodata_count_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,sum_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,min_usle_diff_1992_2020,max_usle_diff_1992_2020,count_usle_diff_1992_2020,nodata_count_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,sum_usle_diff_1992_2020,stdev_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,min_n_ret_ratio_diff_1992_2020,max_n_ret_ratio_diff_1992_2020,count_n_ret_ratio_diff_1992_2020,nodata_count_n_ret_ratio_diff_1992_2020,valid_count_n_ret_ratio_diff_1992_2020,sum_n_ret_ratio_diff_1992_2020,stdev_n_ret_ratio_diff_1992_2020,p5_n_ret_ratio_diff_1992_2020,p95_n_ret_ratio_diff_1992_2020,min_n_retention_diff_1992_2020,max_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,nodata_count_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,sum_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,min_nature_access_diff_1992_2020,max_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,nodata_count_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,sum_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,min_n_export_diff_1992_2020,max_n_export_diff_1992_2020,count_n_export_diff_1992_2020,nodata_count_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,sum_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Afghanistan,-6.671341,18.641136,8131652,0,8131652,4638.427,0.0739050747203461,0.0,0.0,nan,nan,8131906,0,8131906,nan,nan,nan,nan,-84153.195,16913.545,8131906,2688846,5443060,-3.9109388e+06,104.59688715745548,-0.8434921264648434,1.4049801826477033,,,8131323,8131323,0,0.0,,,,-148845.33,62213.25,8131906,2687246,5444660,-1.4636291e+07,404.74927017436795,0.0,0.0,nan,nan,8132001,0,8132001,nan,nan,nan,nan,-1020.8345,1145.6195,8131998,397773,7734225,2.0700516e+06,8.231713864402687,-0.3011512756347656,0.0031342484056949456,-5.0984555e+06,4.813438e+06,21481,2,21479,-1.8060285e+08,222418.70181654373,0.0,0.0,-297.83923,279.8435,8131998,397773,7734225,1.6062809e+06,2.8069054591297995,-0.0009750489145517343,0.6453657150268528
Albania,-12.183072,18.18613,400683,2701,397982,-411.8969,0.13076140785879903,-0.09524500034749507,0.024316866323351435,nan,nan,400732,0,400732,nan,nan,nan,nan,-62971.99,70795.41,400732,32995,367737,-2.1425228e+07,558.4706810532759,-327.375732421875,1.6672523498535219,-2.6598403,2.341928,400642,400165,477,41.76887,0.4256144291902406,-0.16345179080963132,1.2268709421157835,-189515.58,222746.23,400732,13295,387437,-8.250273e+07,2673.417571787522,-1222.4400390625,0.0,nan,nan,400744,0,400744,nan,nan,nan,nan,-711.88086,796.041,400745,59339,341406,-952930.25,50.1929628628038,-5.563019752502441,7.195265769958496,-49952.57,1.0703741e+06,3975,83,3892,2.8810746e+07,68603.56395983431,0.0,895.0826416015576,-450.26535,326.17307,400745,59339,341406,-819866.6,15.788423047220352,-8.518631935119629,0.0
Algeria,-192.34567,350.04828,27563807,6164,27557643,499927.9,1.424099036367717,0.0,0.0,nan,nan,27564091,0,27564091,nan,nan,nan,nan,-16375.646,7177.6533,27564091,23449024,4115067,-6.22716e+06,39.39575246976553,-2.178421807289123,1.5073993682861277,-3.2706656,3.3470726,27562412,27559931,2481,475.03763,0.6039541860668256,-0.1341155767440796,0.5033342838287354,-55926.664,32014.783,27564091,23396038,4168053,-2.6747288e+07,217.939190128965,0.0,0.0,nan,nan,27563957,0,27563957,nan,nan,nan,nan,-2457.3945,2392.645,27563946,1647706,25916240,3.978472e+07,36.267042921427674,0.0,0.0,-13790.836,11079.653,382758,0,382758,-24141.695,51.130210756051206,0.0,0.0,-1040.572,1441.5579,27563946,1647706,25916240,1.974871e+07,15.682255289899269,0.0,0.0
American Samoa,,,2601,2601,0,0.0,,,,nan,nan,2597,0,2597,nan,nan,nan,nan,,,2597,2597,0,0.0,,,,,,2600,2600,0,0.0,,,,,,2597,2597,0,0.0,,,,nan,nan,2597,0,2597,nan,nan,nan,nan,,,2598,2598,0,0.0,,,,0.0,0.0,17,1,16,0.0,0.0,0.0,0.0,,,2598,2598,0,0.0,,,
Andorra,0.0,0.0,6403,0,6403,0.0,0.0,0.0,0.0,nan,nan,6401,0,6401,nan,nan,nan,nan,-4080.8408,17416.738,6401,28,6373,119989.7,347.4301258697226,-0.5824661254882809,74.06561431884765,,,6393,6393,0,0.0,,,,-35902.79,60648.094,6401,28,6373,194141.56,1727.57376147456,0.0,86.34348602294776,nan,nan,6403,0,6403,nan,nan,nan,nan,-106.31162,103.6028,6403,200,6203,4204.147,7.066488443059177,0.0,0.0,0.0,0.0,5,0,5,0.0,0.0,0.0,0.0,-11.273559,50.516857,6403,200,6203,3587.568,2.8074341982319644,0.0,4.276506423950192
Angola,-0.17427707,0.21372056,13462835,14932,13447903,502.19693,0.0022110887121675033,0.0,0.0,nan,nan,13463037,0,13463037,nan,nan,nan,nan,-19670.424,55632.695,13463037,217302,13245735,3.1746758e+07,97.42819969649663,-0.19569681137800213,0.8850522994995096,-1.8244407,4.340423,13462575,13461910,665,85.354935,0.6910972711244433,-0.764390230178833,0.9355618953704834,-105923.695,164015.19,13463037,165482,13297555,9.7408104e+07,428.1799681425427,0.0,0.0,nan,nan,13463096,0,13463096,nan,nan,nan,nan,-132.05309,135.8793,13463105,657028,12806077,197179.42,4.172326084641218,-2.8084182739257812,2.50238037109375,-7.8872945e+06,7.886094e+06,274945,835,274110,-6.5200096e+08,162457.75626009746,0.0,0.0,-95.13586,99.49641,13463105,657028,12806077,479678.7,2.2975029568308516,-2.170284223556518,2.303218841552729
Anguilla,0.0,0.0,1198,374,824,0.0,0.0,0.0,0.0,nan,nan,1202,0,1202,nan,nan,nan,nan,,,1202,1202,0,0.0,,,,-0.45620525,1.1082249,1203,799,404,-28.877438,0.18594500661614244,-0.4218100309371948,0.07218551635742188,-182.64275,28.075447,1202,734,468,-181.36948,8.687077397177019,0.0,0.0,nan,nan,1202,0,1202,nan,nan,nan,nan,,,1202,1202,0,0.0,,,,,,12,12,0,0.0,,,,,,1202,1202,0,0.0,,,
Antarctica,0.0,0.0,784946714,784936060,10654,0.0,0.0,0.0,0.0,,,0,0,0,0.0,,,,,,0,0,0,0.0,,,,,,0,0,0,0.0,,,,,,0,0,0,0.0,,,,,,0,0,0,0.0,,,,,,0,0,0,0.0,,,,,,2896434,2896434,0,0.0,,,,,,0,0,0,0.0,,,
Antigua and Barbuda,0.0,0.0,5497,724,4773,0.0,0.0,0.0,0.0,nan,nan,5508,0,5508,nan,nan,nan,nan,,,5508,5508,0,0.0,,,,-1.2909348,1.3994366,5501,5421,80,-8.701864,0.588076463134654,-1.167365550994873,0.6158289581537244,-2010.14,5749.939,5508,1746,3762,84293.48,213.26571775661117,0.0,97.26964607238757,nan,nan,5506,0,5506,nan,nan,nan,nan,,,5505,5505,0,0.0,,,,0.0,0.0,69,6,63,0.0,0.0,0.0,0.0,,,5505,5505,0,0.0,,,
Argentina,-306.74994,306.81973,36073422,59456,36013966,34001.645,1.3264814729571173,0.0,0.0,nan,nan,36073832,0,36073832,nan,nan,nan,nan,-31735.365,66142.375,36073832,2050953,34022879,1.3478035e+06,124.19922440102128,-0.2628385066986082,0.8521350860595618,-1.9282441,3.911358,36073029,36068388,4641,48.740757,0.5119985701703115,-0.7407469749450684,0.922398030757904,-206132.64,144471.03,36073832,1656639,34417193,1.4934455e+07,443.2597557814208,0.0,0.0,nan,nan,36073931,0,36073931,nan,nan,nan,nan,-1371.3766,1305.3866,36073892,2391292,33682600,4.334459e+07,17.19844532533514,-0.9008523941040032,2.359638595581032,-1.5753061e+07,1.5025216e+07,693352,3368,689984,-5.620736e+08,133805.01977506795,0.0,0.0,-717.37463,466.76685,36073892,2391292,33682600,1.3400315e+07,3.5803617894702975,-0.05145264863967891,2.249021875858272
