nev_name,avg_n_retention_ratio_2020,stdev_n_retention_ratio_2020,valid_count_n_retention_ratio_2020,count_n_retention_ratio_2020,p5_n_retention_ratio_2020,p95_n_retention_ratio_2020,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_sed_retention_ratio_2020,stdev_sed_retention_ratio_2020,valid_count_sed_retention_ratio_2020,count_sed_retention_ratio_2020,p5_sed_retention_ratio_2020,p95_sed_retention_ratio_2020,avg_sed_retention_ratio_1992,stdev_sed_retention_ratio_1992,valid_count_sed_retention_ratio_1992,count_sed_retention_ratio_1992,p5_sed_retention_ratio_1992,p95_sed_retention_ratio_1992,avg_n_retention_ratio_1992,stdev_n_retention_ratio_1992,valid_count_n_retention_ratio_1992,count_n_retention_ratio_1992,p5_n_retention_ratio_1992,p95_n_retention_ratio_1992,avg_sed_retention_ratio_diff_1992_2020,stdev_sed_retention_ratio_diff_1992_2020,valid_count_sed_retention_ratio_diff_1992_2020,count_sed_retention_ratio_diff_1992_2020,p5_sed_retention_ratio_diff_1992_2020,p95_sed_retention_ratio_diff_1992_2020
Afghanistan,0.6764917222715828,0.2889751247489088,6284816,8131998,0.0040731081971898675,0.9995895624160767,-0.0016481494473345988,0.1361958567592406,6279749,8131998,-0.05226764678955078,0.01236747503280633,0.828406063851214,0.06658691454365356,5059293,8131906,0.7065484404563904,0.9255028963088987,0.8279246635697013,0.06620445229306172,5059146,8131906,0.7066311985254288,0.9243304580450058,0.6781904849475396,0.2915692729981424,6286082,8131998,0.00414795617107302,0.9996013641357422,0.00048057834895579867,0.009421424170946609,5059034,8131906,-0.005747741460800163,0.007820507884025552
Albania,0.748001964433416,0.2569924217367645,302250,400745,0.18687938377261162,0.98944051861763,0.00981754514731734,0.09412282239629705,301352,400745,-0.03086262047290801,0.12703039348125458,0.882775387092286,0.0878909941033763,352177,400732,0.7316688060760498,0.9707356929779053,0.8731915160143763,0.09148677206855974,352246,400732,0.7217282056808472,0.968065157532692,0.7382470358234459,0.2580971976408728,301981,400745,0.18678730726242065,0.9890618920326233,0.009560517083486007,0.029426876475227407,352056,400732,-0.0049169063568115234,0.054045915603637695
Algeria,0.6826768851798836,0.2621698231175882,3188396,27563946,0.004366999724879861,0.9987935423851013,-0.0022810601584042187,0.17292941758174699,3187423,27563946,-0.21857185363769532,0.1732318758964531,0.8576411924813442,0.08026254667775987,3950653,27564091,0.7482532382011413,0.9432886838912964,0.8571538526977593,0.08219492894004585,3949648,27564091,0.7468263119459152,0.9414147317409516,0.6849564281558317,0.26132733762872234,3189904,27563946,0.0045001572929322725,0.9989600777626038,0.00047287241360521816,0.028840150706682104,3949356,27564091,-0.008414581418037415,0.01210564374923706
American Samoa,,,0,2598,,,,,0,2598,,,,,0,2597,,,,,0,2597,,,,,0,2598,,,,,0,2597,,
Andorra,0.8632753871389746,0.14931710827834674,6163,6403,0.8071165025234223,0.9376320958137512,-0.0012639798911026024,0.030627553932478298,6127,6403,-0.016675305366516114,0.016168969869613643,0.9160403895035886,0.0404114387406984,6270,6401,0.8476694047451019,0.9664829969406128,0.9214341451106459,0.03474734360688846,6270,6401,0.8595285415649414,0.9672499895095825,0.8647995517167644,0.1473986858624343,6138,6403,0.8103210657835007,0.9367821335792541,-0.005393827398808189,0.0168045319230761,6270,6401,-0.0425568014383316,0.0033086538314819336
Angola,0.8775693250368158,0.07170889391895785,12032197,13463105,0.7624809503555298,0.947135579586029,-0.0007658600441888037,0.03915206801730444,12028556,13463105,-0.04633963108062744,0.036958470940589905,0.9611956255488528,0.035266849349870746,12741347,13463037,0.8976422131061554,0.9904704689979553,0.9620432277025711,0.03307119157872234,12742153,13463037,0.9028797745704651,0.9904241561889648,0.8782936180867477,0.07060615444890465,12045416,13463105,0.7663329392671585,0.9480815529823303,-0.0008489109075951028,0.013367418570672588,12739709,13463037,-0.01422661542892456,0.010455048084259011
Anguilla,,,0,1202,,,,,0,1202,,,,,0,1202,,,,,0,1202,,,,,0,1202,,,,,0,1202,,
Antarctica,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,
Antigua and Barbuda,,,0,5505,,,,,0,5505,,,,,0,5508,,,,,0,5508,,,,,0,5505,,,,,0,5508,,
Argentina,0.8273266537172504,0.17197681741136978,31565387,36073892,0.5817640960216522,0.9762333452701568,-0.0028307069600559845,0.0762796355074066,31537390,36073892,-0.03719547688961028,0.012367606163024902,0.928776618063061,0.059394118668726466,32026842,36073832,0.8120325833559037,0.9907365441322327,0.9303777302181864,0.06270827509722113,32018778,36073832,0.8119333386421204,0.9920989871025085,0.8302279382989933,0.17154727377216653,31561041,36073892,0.5896791219711304,0.9757012724876404,-0.0016083487333912187,0.021177872794986785,32000015,36073832,-0.014193296432495117,0.0037175595760343683
