nev_name,avg_n_export_diff_1992_2020_ha,stdev_n_export_diff_1992_2020_ha,valid_count_n_export_diff_1992_2020_ha,count_n_export_diff_1992_2020_ha,p5_n_export_diff_1992_2020_ha,p95_n_export_diff_1992_2020_ha,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_sed_export_diff_1992_2020_ha,stdev_sed_export_diff_1992_2020_ha,valid_count_sed_export_diff_1992_2020_ha,count_sed_export_diff_1992_2020_ha,p5_sed_export_diff_1992_2020_ha,p95_sed_export_diff_1992_2020_ha,avg_realized_polllination_on_ag_1992_2020_diff_ha,stdev_realized_polllination_on_ag_1992_2020_diff_ha,valid_count_realized_polllination_on_ag_1992_2020_diff_ha,count_realized_polllination_on_ag_1992_2020_diff_ha,p5_realized_polllination_on_ag_1992_2020_diff_ha,p95_realized_polllination_on_ag_1992_2020_diff_ha,avg_sed_retention_ratio_diff_1992_2020,stdev_sed_retention_ratio_diff_1992_2020,valid_count_sed_retention_ratio_diff_1992_2020,count_sed_retention_ratio_diff_1992_2020,p5_sed_retention_ratio_diff_1992_2020,p95_sed_retention_ratio_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020
Afghanistan,0.025957388264499674,0.3537676981144343,7734225,8131998,-0.00012129211245337496,0.08151537925004959,-0.0016481494473345988,0.1361958567592406,6279749,8131998,-0.05226764678955078,0.01236747503280633,,,0,8131906,,,0.0627909681322936,0.2733274478077519,9726,8131652,-0.0438632033765316,0.5622396469116211,0.00048057834895579867,0.009421424170946609,5059034,8131906,-0.005747741460800163,0.007820507884025552,-8408.345267470553,222418.70181654373,21479,21481,0.0,0.0
Albania,-0.33267305825029436,2.1846244170817646,341406,400745,-1.1814619302749634,0.0,0.00981754514731734,0.09412282239629705,301352,400745,-0.03086262047290801,0.12703039348125458,,,0,400732,,,-0.0003137119345074992,0.02724148524179855,175060,400683,-0.025674129370599985,0.03632385637611148,0.009560517083486007,0.029426876475227407,352056,400732,-0.0049169063568115234,0.054045915603637695,7402.555498458376,68603.56395983431,3892,3975,0.0,895.0826416015576
Algeria,0.09787179776078629,2.01729652108132,25916240,27563946,0.0,0.0,-0.0022810601584042187,0.17292941758174699,3187423,27563946,-0.21857185363769532,0.1732318758964531,,,0,27564091,,,0.11213671373054973,1.2776695646003748,576663,27563807,-0.09998144581913947,0.7381167113780978,0.00047287241360521816,0.028840150706682104,3949356,27564091,-0.008414581418037415,0.01210564374923706,-0.06307299994382874,51.130210756051206,382758,382758,0.0,0.0
American Samoa,,,0,2598,,,,,0,2598,,,,,0,2597,,,,,0,2601,,,,,0,2597,,,0.0,0.0,16,17,0.0,0.0
Andorra,0.0821701608203062,0.3987445482104858,6203,6403,0.0,0.6078453481197352,-0.0012639798911026024,0.030627553932478298,6127,6403,-0.016675305366516114,0.016168969869613643,,,0,6401,,,,,0,6403,,,-0.005393827398808189,0.0168045319230761,6270,6401,-0.0425568014383316,0.0033086538314819336,0.0,0.0,5,5,0.0,0.0
Angola,0.004086194475775056,0.24956738590879166,12806077,13463105,-0.23506114184856414,0.25010194182395895,-0.0007658600441888037,0.03915206801730444,12028556,13463105,-0.04633963108062744,0.036958470940589905,,,0,13463037,,,8.422005804422302e-05,0.0010917747272843404,620882,13462835,-0.0007725168252363801,0.000944452709518373,-0.0008489109075951028,0.013367418570672588,12739709,13463037,-0.01422661542892456,0.010455048084259011,-2378.6106307686696,162457.75626009746,274110,274945,0.0,0.0
Anguilla,,,0,1202,,,,,0,1202,,,,,0,1202,,,,,0,1198,,,,,0,1202,,,,,0,12,,
Antarctica,,,0,0,,,,,0,0,,,,,0,0,,,,,0,784946714,,,,,0,0,,,,,0,2896434,,
Antigua and Barbuda,,,0,5505,,,,,0,5505,,,,,0,5508,,,,,0,5497,,,,,0,5508,,,0.0,0.0,63,69,0.0,0.0
Argentina,0.04856545738749384,0.4445655154928787,33682600,36073892,-0.006738755060359826,0.2752320170402527,-0.0028307069600559845,0.0762796355074066,31537390,36073892,-0.03719547688961028,0.012367606163024902,,,0,36073832,,,0.0008692045705029898,0.39224576314772497,5982725,36073422,-0.060067129135131826,0.06597963571548461,-0.0016083487333912187,0.021177872794986785,32000015,36073832,-0.014193296432495117,0.0037175595760343683,-814.6183099897969,133805.01977506795,689984,693352,0.0,0.0
