nev_name,avg_sed_export_diff_1992_2020_ha,stdev_sed_export_diff_1992_2020_ha,valid_count_sed_export_diff_1992_2020_ha,count_sed_export_diff_1992_2020_ha,p5_sed_export_diff_1992_2020_ha,p95_sed_export_diff_1992_2020_ha
Afghanistan,-0.08737793515963448,13.389812626095242,5443060,8131906,-0.10668429806828497,0.17843806743621826
Albania,-8.103195354288527,78.01791612484304,367737,400732,-45.594355773925784,0.23358909189701135
Algeria,-0.19510794113437277,5.112983769588022,4115067,27564091,-0.27927552163600916,0.19353134781122164
American Samoa,,,0,2597,,
Andorra,2.674186999843088,49.35726394290186,6373,6401,-0.08270103037357325,10.529510498046875
Angola,0.26034323501111867,10.549725117383012,13245735,13463037,-0.021065396815538394,0.09583774060010905
Anguilla,,,0,1202,,
Antarctica,,,0,0,,
Antigua and Barbuda,,,0,5508,,
Argentina,0.006531175866980569,15.258046192842206,34022879,36073832,-0.03328953683376312,0.1062035858631134
Armenia,0.013880295751638164,14.518423909788343,391139,407527,-2.608177661895752,2.8034803867340057
Aruba,,,0,2158,,
Australia,0.004267611187293324,1.6432428479867858,87246233,90344656,-0.03516879379749298,0.014636495523154644
Austria,1.1292438041639734,20.566624577457336,1291795,1300963,-0.17641558498144141,3.710554361343384
Azerbaijan,0.0626758721073429,12.542352659143408,1116534,1190068,-1.2914296388626099,0.46826213300227454
Bahrain,,,0,8591,,
Bangladesh,-0.02601672041923328,1.860060636382838,1292884,1617221,-0.07605032250285149,0.02520618820562918
Barbados,,,0,5028,,
Belarus,-0.003098592742440557,0.08627914676330829,3628508,3638267,-0.032127706706523894,0.01448116172105074
Belgium,-0.006664954384567545,0.8315883935100007,497058,507073,-0.0687921941280365,0.03140615299344063
Belize,0.19269492649091285,2.6520426462558615,217065,246851,-4.456372771528546e-05,0.40318316221237144
Benin,-0.03185852422378327,2.0048654135692865,1224819,1233483,-0.6301640629768371,0.582846289873123
Bermuda,,,0,946,,
Bhutan,-4.81466231014405,93.3939196748764,449288,458370,-5.446421480178829,0.018505838792771075
Bolivia,-0.17476877524464224,29.665588928344174,11581913,11927288,-0.2976394712924958,0.38821773529052817
"Bonaire, Sint Eustatius and Saba",,,0,3493,,
Bosnia and Herzegovina,0.8043228257302497,32.3379240815763,703903,744906,-0.4808800667524339,4.444651222229009
Botswana,-0.0015133971889499725,0.2014111356826617,6505296,6564545,-0.0031195407500490546,0.00033989452640525997
Brazil,-0.04842749141711826,10.702281004221678,90366502,92076766,-0.11999467685818672,0.48444872647523907
British Indian Ocean Territory,,,0,1016,,
British Virgin Islands,,,0,2178,,
Brunei,-0.10357111192758431,3.9987769506389514,52606,61605,-0.1735866479575634,0.0012697225902229548
Bulgaria,-0.19518141201587794,6.838276545781893,1567709,1591188,-1.07737135887146,0.02098751328885555
Burkina Faso,0.12342628002962878,1.5344384764678494,2928233,2939791,-0.03702473565936088,0.7048769950866695
Burundi,2.642924174529642,78.47648567375191,264001,284080,-11.75677490234375,14.958039283752441
Cabo Verde,,,0,47558,,
Cambodia,1.1169642468792136,16.726934838636073,1885262,1961243,-0.002301482914481312,2.4341698169708224
Cameroon,0.5496006354235723,33.92745581853845,4876747,4936728,-0.005782284960150718,0.03882431983947771
Canada,0.03861692892695131,12.21534405189047,87218251,104272840,-0.0012073706602677703,0.0018387362943030894
Cayman Islands,,,0,3622,,
