subregion,min_pollination_diff_1992_2020,max_pollination_diff_1992_2020,count_pollination_diff_1992_2020,nodata_count_pollination_diff_1992_2020,valid_count_pollination_diff_1992_2020,sum_pollination_diff_1992_2020,stdev_pollination_diff_1992_2020,p5_pollination_diff_1992_2020,p95_pollination_diff_1992_2020,min_sed_ret_ratio_diff_1992_2020,max_sed_ret_ratio_diff_1992_2020,count_sed_ret_ratio_diff_1992_2020,nodata_count_sed_ret_ratio_diff_1992_2020,valid_count_sed_ret_ratio_diff_1992_2020,sum_sed_ret_ratio_diff_1992_2020,stdev_sed_ret_ratio_diff_1992_2020,p5_sed_ret_ratio_diff_1992_2020,p95_sed_ret_ratio_diff_1992_2020,min_sed_export_diff_1992_2020,max_sed_export_diff_1992_2020,count_sed_export_diff_1992_2020,nodata_count_sed_export_diff_1992_2020,valid_count_sed_export_diff_1992_2020,sum_sed_export_diff_1992_2020,stdev_sed_export_diff_1992_2020,p5_sed_export_diff_1992_2020,p95_sed_export_diff_1992_2020,min_coastal_risk_esa_diff_1992_2020,max_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,nodata_count_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,sum_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,min_usle_diff_1992_2020,max_usle_diff_1992_2020,count_usle_diff_1992_2020,nodata_count_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,sum_usle_diff_1992_2020,stdev_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,min_n_ret_ratio_diff_1992_2020,max_n_ret_ratio_diff_1992_2020,count_n_ret_ratio_diff_1992_2020,nodata_count_n_ret_ratio_diff_1992_2020,valid_count_n_ret_ratio_diff_1992_2020,sum_n_ret_ratio_diff_1992_2020,stdev_n_ret_ratio_diff_1992_2020,p5_n_ret_ratio_diff_1992_2020,p95_n_ret_ratio_diff_1992_2020,min_n_retention_diff_1992_2020,max_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,nodata_count_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,sum_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,min_nature_access_diff_1992_2020,max_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,nodata_count_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,sum_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,min_n_export_diff_1992_2020,max_n_export_diff_1992_2020,count_n_export_diff_1992_2020,nodata_count_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,sum_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Antarctica,0.0,0.0,784946714,784936060,10654,0.0,0.0,0.0,0.0,,,0,0,0,0.0,,,,,,0,0,0,0.0,,,,,,0,0,0,0.0,,,,,,0,0,0,0.0,,,,,,0,0,0,0.0,,,,,,0,0,0,0.0,,,,,,2896434,2896434,0,0.0,,,,,,0,0,0,0.0,,,
Australia and New Zealand,-207.62003,123.242935,94223744,343258,93880486,197797.48,0.47874920020345435,0.0,0.0,nan,nan,94223600,0,94223600,nan,nan,nan,nan,-89598.53,45761.258,94223600,4214945,90008655,-5.9393325e+06,60.361370607233575,-0.3133216887712479,0.1451711654663086,-5.1366262,4.1318607,94222804,94195130,27674,-3971.7783,0.6813168130439161,-1.5001669585704802,0.7177655696868896,-506728.72,425074.7,94223600,2189664,92033936,-7.422225e+07,392.0826770963117,0.0,0.0,nan,nan,94223784,0,94223784,nan,nan,nan,nan,-3225.0906,2634.025,94223589,7222244,87001345,9.358022e+07,21.952343348544893,-0.6337047576904293,4.928462982177734,-4.8719015e+06,4.657387e+06,1991708,19823,1971885,-1.3723543e+09,54201.55323994712,0.0,0.0,-1349.283,981.4235,94223589,7222244,87001345,1.5555653e+07,5.091546446123489,-1.6983966827392578,1.791095638275145
Caribbean,-54.473072,54.467175,2645517,70200,2575317,115183.24,1.95648607101336,0.0,0.21957281231880188,nan,nan,2645613,0,2645613,nan,nan,nan,nan,-72601.48,86105.76,2645613,725652,1919961,-2.4921705e+06,309.2063111187416,-8.191314697265625,2.5933549404144287,-3.5911984,3.4612916,2645478,2615691,29787,1716.5792,0.4485367248655386,-0.42903324365615847,0.7840449810028076,-350191.88,412816.97,2645613,234104,2411509,-1.0334821e+08,2431.5424896512495,0.0,0.0,nan,nan,2645614,0,2645614,nan,nan,nan,nan,-1913.786,1355.7871,2645620,754041,1891579,-9.092037e+06,79.46219432309657,-5.095471191406249,0.652430725097652,-4.4767955e+06,4.4229665e+06,54216,3967,50249,7.7547715e+06,170104.75608834423,0.0,0.0,-517.9725,415.1784,2645620,754041,1891579,-711850.3,12.575001826541836,-0.8543340682983398,1.0187270164489683
Central America,-266.4945,269.61575,28247908,121547,28126361,1.3258218e+06,2.0948734841729504,0.0,0.0,nan,nan,28247857,0,28247857,nan,nan,nan,nan,-219176.08,60957.074,28247857,1697149,26550708,-6.6098055e+06,229.0030991919801,-1.329129421710968,3.8401864290237278,-4.9106593,4.8118086,28248137,28218123,30014,3708.1394,0.6348898051090105,-0.4386134147644043,1.1885563135147095,-661056.1,647364.06,28247857,815422,27432435,-3.8782547e+08,1892.4133449170279,0.0,0.0,nan,nan,28247868,0,28247868,nan,nan,nan,nan,-2432.2698,2849.5972,28247870,2282074,25965796,7.561686e+07,82.34925696257903,-1.641326904296875,2.483456611633301,-2.3377238e+07,2.3563516e+07,603378,7875,595503,-6.570673e+09,392171.608677769,0.0,0.0,-1337.2627,1265.6396,28247870,2282074,25965796,3.2262922e+07,19.363947888274573,-0.030988693237304688,1.5657691359519958
Central Asia,-20.355265,27.114239,60409497,0,60409497,32715.27,0.2393033213301475,0.0,0.0,nan,nan,60409988,0,60409988,nan,nan,nan,nan,-54645.14,51175.832,60409988,8623548,51786440,2.414905e+06,117.31729243800771,-0.44080162048339844,0.11476756185293135,,,60397483,60397483,0,0.0,,,,-183304.89,158669.6,60409988,8031760,52378228,6.8664696e+07,453.9510946809712,-0.27595382928848267,0.0,nan,nan,60410377,0,60410377,nan,nan,nan,nan,-2311.179,2539.34,60410377,5791553,54618824,5.791141e+07,36.4128589516399,-0.09319686889648438,6.621753692626953,-4.0440332e+06,3.9543405e+06,785319,4239,781080,-2.890267e+08,29210.12883193788,0.0,0.0,-1121.4404,1058.229,60410377,5791553,54618824,9.603046e+06,10.926961069849698,-1.3180798053741452,1.492659091949463
Eastern Africa,-22.930084,32.13562,75381037,142841,75238196,99940.34,0.16401123289654182,0.0,0.0,nan,nan,75381778,0,75381778,nan,nan,nan,nan,-133745.05,169515.39,75381778,4446419,70935359,-1.0474788e+08,288.82056453232394,-4.001530933380126,2.2276840209960938,-2.650149,3.546536,75381195,75365004,16191,36.893707,0.4645511547379863,-0.651036262512207,0.829667866230011,-715738.1,1.2571844e+06,75381778,3790683,71591095,-2.5531805e+08,1688.5918316371788,0.0,0.0,nan,nan,75382038,0,75382038,nan,nan,nan,nan,-598.77783,952.4055,75382071,4863163,70518908,5.960048e+07,13.914722685208176,-2.059978485107422,4.679075813293451,-8.909351e+06,8.86119e+06,1406907,21200,1385707,-3.305372e+09,111586.83825568357,0.0,0.0,-302.61768,562.78326,75382071,4863163,70518908,6.78728e+06,5.183962871745188,-3.091145157814026,2.3902999520301815
Eastern Asia,-462.2088,462.43527,155854735,249120,155605615,1.0847762e+07,2.7961296330849206,0.0,0.0,nan,nan,155855801,0,155855801,nan,nan,nan,nan,-120789.64,174403.34,155855801,33682524,122173277,3.1322416e+08,335.6630524479277,-6.58130102157592,3.325507450103757,-6.981223,6.8400264,155842036,155802806,39230,-1317.0518,0.6655211909194704,-0.681955099105835,0.3264502197503801,-742762.8,835199.9,155855801,31976559,123879242,1.5365613e+09,1792.7073773438885,0.0,0.0,nan,nan,155856336,0,155856336,nan,nan,nan,nan,-4139.6313,4366.062,155856341,13044207,142812134,-2.5549819e+08,148.8034584253002,-5.028235149383544,1.291015625,-3.2007194e+07,2.7233984e+07,2027899,12534,2015365,-2.062003e+10,414820.8105444609,0.0,0.0,-2395.0496,2229.1055,155856341,13044207,142812134,1.7074691e+08,43.245968806711076,-0.5038940906524658,4.475325584411621
Eastern Europe,-31.171017,29.844408,408001089,1811915,406189174,1.6291501e+06,0.38482662259442935,0.0,0.0,nan,nan,174782161,0,174782161,nan,nan,nan,nan,-23262.453,32863.68,174782161,18083247,156698914,4.4420556e+07,26.964429495443976,-0.1054166629910469,0.06403992623090726,-5.085779,6.8402047,407650966,407497228,153738,-15387.734,0.7061678890496796,-1.3018900156021118,0.9467540711164418,-145587.38,128862.05,174782161,16807400,157974761,5.1743245e+08,195.14377604933085,0.0,0.0,nan,nan,174781344,0,174781344,nan,nan,nan,nan,-1548.5394,1456.3638,174781344,24548544,150232800,-6.5353868e+07,27.335961726005603,-0.24952707290649379,0.688812255859375,-1.6470478e+07,1.6500395e+07,4852780,29663,4823117,3.7500058e+08,103298.26718176312,0.0,0.0,-615.6281,649.442,174781344,24548544,150232800,-7.4877045e+06,6.357243146264199,-0.2511883020401,0.36159576773642854
Melanesia,-2.9675717,2.7942114,5899037,166397,5732640,17052.805,0.1233538653486074,0.0,0.0,nan,nan,5899015,0,5899015,nan,nan,nan,nan,-201137.48,507595.6,5899015,1327668,4571347,2.5643091e+08,1704.9813812317764,-0.5927550375461578,5.288203811645555,-3.737402,4.7983313,5899062,5871430,27632,3416.5984,0.6929048456854514,-0.2517028570175167,1.3487915992736816,-531496.8,1.3231525e+06,5899015,583126,5315889,1.6585734e+08,7509.812366894417,0.0,0.0,nan,nan,5892009,0,5892009,nan,nan,nan,nan,-615.6876,680.32605,5892012,1476522,4415490,834620.1,7.54212321753521,0.0,0.0,-325822.1,312031.56,131096,14562,116534,-1.1470831e+07,3490.213873440141,0.0,0.0,-145.708,139.98723,5892012,1476522,4415490,658894.0,1.6745807417380625,0.0,0.127239108085631
Micronesia,0.0,0.0,51718,51692,26,0.0,0.0,0.0,0.0,nan,nan,51707,0,51707,nan,nan,nan,nan,,,51707,51707,0,0.0,,,,-1.9332224,0.0059728622,51712,51157,555,-11.201303,0.1288255244263121,-0.06413304805755615,0.002986431121826172,-631.916,9024.499,51707,36658,15049,513936.9,249.13776155387396,0.0,0.0,nan,nan,51699,0,51699,nan,nan,nan,nan,,,51701,51701,0,0.0,,,,-1505.2576,160390.75,916,586,330,157741.23,8816.772567813812,0.0,0.0,,,51701,51701,0,0.0,,,
