subregion,avg_n_retention_ratio_2020,stdev_n_retention_ratio_2020,valid_count_n_retention_ratio_2020,count_n_retention_ratio_2020,p5_n_retention_ratio_2020,p95_n_retention_ratio_2020,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_sed_retention_ratio_2020,stdev_sed_retention_ratio_2020,valid_count_sed_retention_ratio_2020,count_sed_retention_ratio_2020,p5_sed_retention_ratio_2020,p95_sed_retention_ratio_2020,avg_sed_retention_ratio_1992,stdev_sed_retention_ratio_1992,valid_count_sed_retention_ratio_1992,count_sed_retention_ratio_1992,p5_sed_retention_ratio_1992,p95_sed_retention_ratio_1992,avg_n_retention_ratio_1992,stdev_n_retention_ratio_1992,valid_count_n_retention_ratio_1992,count_n_retention_ratio_1992,p5_n_retention_ratio_1992,p95_n_retention_ratio_1992,avg_sed_retention_ratio_diff_1992_2020,stdev_sed_retention_ratio_diff_1992_2020,valid_count_sed_retention_ratio_diff_1992_2020,count_sed_retention_ratio_diff_1992_2020,p5_sed_retention_ratio_diff_1992_2020,p95_sed_retention_ratio_diff_1992_2020
Antarctica,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,
Australia and New Zealand,0.7972835731378566,0.13569593414266556,80591752,94223589,0.63998142182827,0.9405399560928345,0.0013119365772631558,0.07748470660197916,80559737,94223589,-0.03351777791976929,0.04135174751281756,0.9339264626144445,0.04299789052956973,85471192,94223600,0.863358199596405,0.980786919593811,0.933373645862853,0.04316333925899445,85462263,94223600,0.8621070981025696,0.9809905290603638,0.7959558575590318,0.13547675933661535,80590831,94223589,0.6379849314689636,0.9401333034038544,0.0005504851275157186,0.015678735879259685,85449544,94223600,-0.009427666664123535,0.013276755809783936
Caribbean,0.8369553480661831,0.18792801734267817,1629963,2645620,0.4046864330768586,0.992458164691925,0.001402397357425108,0.07832884222944958,1629249,2645620,-0.034543514251708984,0.030852910876274103,0.9488612369653147,0.12887888437419498,1851790,2645613,0.8603415846824646,0.9918393552303314,0.9479409786378813,0.1323403707138276,1850940,2645613,0.8593125909566879,0.991685688495636,0.8354567076959122,0.18861965577495343,1630463,2645620,0.4035640895366669,0.9926421642303467,0.0008866709410456504,0.05096078577129944,1849361,2645613,-0.00821983814239502,0.015954256057739258
Central America,0.8359184757262448,0.1709786878322859,24193187,28247870,0.41436165869235997,0.9853796184062957,-0.001992737626428393,0.08002803038396827,24189681,28247870,-0.03413814306259155,0.019985675811767578,0.9430233359762125,0.09477115204678227,25428077,28247857,0.8586224794387818,0.990558385848999,0.9439813880851857,0.10232234096077279,25439188,28247857,0.8612322211265564,0.9908762574195862,0.8378664279294455,0.16702192529354618,24205135,28247870,0.4330610275268555,0.984364926815033,-0.0009603068364249149,0.07788510495459201,25424312,28247857,-0.016970515251159668,0.010248151421546892
Central Asia,0.7680324755345089,0.2221938880976663,44151883,60410377,0.01261110082268715,0.9989853501319885,0.01202949086443626,0.12900968309552563,43944524,60410377,-0.034742653369903564,0.08140980303287515,0.9123306828350726,0.05736479555226216,47477614,60409988,0.8062789440155029,0.9721837043762207,0.9113063019707744,0.057738476080042914,47460328,60409988,0.80474454164505,0.9720602631568909,0.7561610385680185,0.23864042780927391,44146940,60410377,0.00793031929060817,0.9994142651557922,0.0010163982328148934,0.009292686751257873,47436089,60409988,-0.0057520270347595215,0.012727677822113037
Eastern Africa,0.8501007359171785,0.13643402631575868,66029577,75382071,0.673814594745636,0.958745002746582,0.0015604860241576317,0.07313081920624762,66006719,75382071,-0.04360198974609375,0.05273860692977905,0.9441089357672131,0.05498062091338563,67510756,75381778,0.8449236750602722,0.9887683987617493,0.9440572615556867,0.05631745357556058,67536272,75381778,0.8451399207115173,0.9887798428535461,0.8485874816342225,0.13906066084041507,66079424,75382071,0.670507499575615,0.9600958228111267,4.8956231221944515e-05,0.026316814014962924,67484357,75381778,-0.013651371002197266,0.015417695045471191
Eastern Asia,0.7374500561789348,0.2584246502063031,116036376,155856341,0.0583973890170455,0.9970578551292419,-0.0029365781422703383,0.1447883940290968,115860679,155856341,-0.07786762714385986,0.053184688091278076,0.9035287709664943,0.1483633668896071,114621749,155855801,0.7836776971817017,0.9807344079017639,0.9037087356137239,0.15185557858900228,114631385,155855801,0.7822604775428772,0.9816960096359253,0.7400041071466931,0.25716001619192436,116382500,155856341,0.016815544944256564,0.997480034828186,-0.0001841455797993165,0.10141991236003721,114579628,155855801,-0.01587367057800293,0.01671689748764038
Eastern Europe,0.8562834058393551,0.15203101598902685,142935714,174781344,0.5939973592758179,0.9766911864280701,-0.0011561854161011753,0.06521741092945484,142888265,174781344,-0.017032134532928456,0.015998482704162598,0.9533096967312987,0.050540385185919176,147466487,174782161,0.8576794862747192,0.9929890632629395,0.9534576816529479,0.04912711627377106,147505974,174782161,0.8565675616264343,0.9930334687232971,0.8574452822826005,0.14902315299051036,143005874,174781344,0.6055528521537781,0.9757034182548523,-0.00014502055225977986,0.01912434548205397,147416484,174782161,-0.008406221866607666,0.007787168025970459
Melanesia,0.9075373723974423,0.08585811758142886,4004426,5892012,0.8446268290281296,0.9651853889226913,-0.002126343410001999,0.04024558477230592,3967027,5892012,-0.0152983546257019,0.0034972667694091464,0.9697076420883569,0.10474026510306096,4378332,5899015,0.9110417753458023,0.9936006665229797,0.9717653938312749,0.21687856779122466,4377890,5899015,0.9226153761148452,0.9936206936836243,0.9096297577707301,0.08293773118467754,3991549,5892012,0.8545600414276123,0.96482173204422,-0.0020570481359695235,0.23201430034798484,4375304,5899015,-0.018250465393066406,0.007958224415779092
Micronesia,,,0,51701,,,,,0,51701,,,,,0,51707,,,,,0,51707,,,,,0,51701,,,,,0,51707,,
