subregion,avg_sediment_retention_ratio_diff_1992_2020,stdev_sediment_retention_ratio_diff_1992_2020,valid_count_sediment_retention_ratio_diff_1992_2020,count_sediment_retention_ratio_diff_1992_2020,p5_sediment_retention_ratio_diff_1992_2020,p95_sediment_retention_ratio_diff_1992_2020,avg_sediment_export_diff_1992_2020,stdev_sediment_export_diff_1992_2020,valid_count_sediment_export_diff_1992_2020,count_sediment_export_diff_1992_2020,p5_sediment_export_diff_1992_2020,p95_sediment_export_diff_1992_2020,avg_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,avg_usle_diff_1992_2020,stdev_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,count_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,avg_polllination_diff_1992_2020,stdev_polllination_diff_1992_2020,valid_count_polllination_diff_1992_2020,count_polllination_diff_1992_2020,p5_polllination_diff_1992_2020,p95_polllination_diff_1992_2020,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,avg_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,count_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Antarctica,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,784946714,,,,,0,0,,,,,0,0,,,,,0,2896434,,,,,0,0,,
Australia and New Zealand,0.0005504851275157,0.0156787358792596,85449544,94223600,-0.0094276666641235,0.0132767558097839,-0.065986237656812,60.361370607233575,90008655,94223600,-0.3133216887712479,0.1451711654663086,-0.1435202110396942,0.6813168130439161,27674,94222804,-1.5001669585704802,0.7177655696868896,-0.8064660844234675,392.0826770963117,92033936,94223600,0.0,0.0,0.0410255990113908,2.112200264382467,4821319,94223744,-0.0101842237636446,0.0250248983502386,0.0013119365772631,0.0774847066019791,80559737,94223589,-0.0335177779197692,0.0413517475128175,1.0756181298116714,21.952343348544893,87001345,94223589,-0.6337047576904293,4.928462982177734,-695.9606183930605,54201.55323994712,1971885,1991708,0.0,0.0,0.1787978450218212,5.091546446123489,87001345,94223589,-1.6983966827392578,1.791095638275145
Caribbean,0.0008866709410456,0.0509607857712994,1849361,2645613,-0.008219838142395,0.0159542560577392,-1.2980318350216489,309.2063111187416,1919961,2645613,-8.191314697265625,2.5933549404144287,0.0576284695885054,0.4485367248655386,29787,2645478,-0.4290332436561584,0.7840449810028076,-42.85623980669365,2431.542489651249,2411509,2645613,0.0,0.0,0.1309297909848783,3.345783513113093,879733,2645517,-1.0675639629364009,3.061746120452881,0.0014023973574251,0.0783288422294495,1629249,2645620,-0.0345435142517089,0.0308529108762741,-4.8065859263609925,79.46219432309657,1891579,2645620,-5.095471191406249,0.652430725097652,154.3268821270075,170104.75608834423,50249,54216,0.0,0.0,-0.376325975547413,12.575001826541836,1891579,2645620,-0.8543340682983398,1.0187270164489683
Central America,-0.0009603068364249,0.077885104954592,25424312,28247857,-0.0169705152511596,0.0102481514215468,-0.2489502539819277,229.0030991919801,26550708,28247857,-1.329129421710968,3.840186429023728,0.1235469915471738,0.6348898051090105,30014,28248137,-0.4386134147644043,1.1885563135147097,-14.137478936886207,1892.413344917028,27432435,28247857,0.0,0.0,0.2774908835338087,5.076430134430341,4777893,28247908,-0.7006235361099242,2.230465507507315,-0.0019927376264283,0.0800280303839682,24189681,28247870,-0.0341381430625915,0.0199856758117675,2.912171997346047,82.34925696257903,25965796,28247870,-1.641326904296875,2.483456611633301,-11033.820403927435,392171.608677769,595503,603378,0.0,0.0,1.2425161932258884,19.363947888274573,25965796,28247870,-0.0309886932373046,1.5657691359519958
Central Asia,0.0010163982328148,0.0092926867512578,47436089,60409988,-0.0057520270347595,0.012727677822113,0.0466319947847351,117.31729243800773,51786440,60409988,-0.4408016204833984,0.1147675618529313,,,0,60397483,,,1.3109396522539862,453.9510946809712,52378228,60409988,-0.2759538292884826,0.0,0.0041932772899545,0.66587916855467,7801836,60409497,-0.0616465480998158,0.0666979402303695,0.0120294908644362,0.1290096830955256,43944524,60410377,-0.0347426533699035,0.0814098030328751,1.060282952998036,36.4128589516399,54618824,60410377,-0.0931968688964843,6.621753692626953,-370.0346801864085,29210.12883193788,781080,785319,0.0,0.0,0.1758193475568057,10.926961069849698,54618824,60410377,-1.3180798053741452,1.492659091949463
Eastern Africa,4.895623122194452e-05,0.0263168140149629,67484357,75381778,-0.0136513710021972,0.0154176950454711,-1.4766666649279945,288.82056453232394,70935359,75381778,-4.001530933380126,2.2276840209960938,0.0022786552575746,0.4645511547379863,16191,75381195,-0.651036262512207,0.829667866230011,-3.566338075985568,1688.5918316371788,71591095,75381778,0.0,0.0,0.0086361806462595,0.4181237575938037,11572285,75381037,-0.0349323414266109,0.055187069624662,0.0015604860241576,0.0731308192062476,66006719,75382071,-0.0436019897460937,0.052738606929779,0.8451702059822027,13.914722685208176,70518908,75382071,-2.059978485107422,4.679075813293451,-2385.332472160421,111586.83825568356,1385707,1406907,0.0,0.0,0.0962476616909609,5.183962871745188,70518908,75382071,-3.091145157814026,2.390299952030181
Eastern Asia,-0.0001841455797993,0.1014199123600372,114579628,155855801,-0.0158736705780029,0.0167168974876403,2.5637698168642884,335.6630524479277,122173277,155855801,-6.58130102157592,3.325507450103757,-0.0335725658376879,0.6655211909194704,39230,155842036,-0.681955099105835,0.3264502197503801,12.403702631632182,1792.7073773438883,123879242,155855801,0.0,0.0,0.4121050929032829,6.7879696382830375,26322805,155854735,-2.773916244506836,5.910833454132039,-0.0029365781422703,0.1447883940290968,115860679,155856341,-0.0778676271438598,0.053184688091278,-1.789051005988049,148.8034584253002,142812134,155856341,-5.028235149383544,1.291015625,-10231.412152141176,414820.8105444609,2015365,2027899,0.0,0.0,1.1956050737257382,43.24596880671108,142812134,155856341,-0.5038940906524658,4.475325584411621
Eastern Europe,-0.0001450205522597,0.0191243454820539,147416484,174782161,-0.0084062218666076,0.0077871680259704,0.28347711458932,26.964429495443976,156698914,174782161,-0.1054166629910469,0.0640399262309072,-0.1000906371554202,0.7061678890496796,153738,407650966,-1.3018900156021118,0.9467540711164418,3.2754121273840697,195.14377604933085,157974761,174782161,0.0,0.0,0.0482695558869358,1.334212283203867,33751090,408001089,-0.3763117283582686,0.2084459811449051,-0.0011561854161011,0.0652174109294548,142888265,174781344,-0.0170321345329284,0.0159984827041625,-0.4350173064736862,27.335961726005603,150232800,174781344,-0.2495270729064937,0.688812255859375,77.75066953590385,103298.26718176312,4823117,4852780,0.0,0.0,-0.0498406772688787,6.357243146264199,150232800,174781344,-0.2511883020401,0.3615957677364285
Melanesia,-0.0020570481359695,0.2320143003479848,4375304,5899015,-0.0182504653930664,0.007958224415779,56.09526294984826,1704.9813812317764,4571347,5899015,-0.5927550375461578,5.288203811645555,0.123646438501443,0.6929048456854514,27632,5899062,-0.2517028570175167,1.3487915992736816,31.200302338893835,7509.812366894417,5315889,5899015,0.0,0.0,0.0244762550944943,0.3530937318561367,696708,5899037,-0.4848653078079223,0.5523993790149694,-0.0021263434100019,0.0402455847723059,3967027,5892012,-0.0152983546257019,0.0034972667694091,0.1890209523744816,7.54212321753521,4415490,5892012,0.0,0.0,-98.43334134244084,3490.213873440141,116534,131096,0.0,0.0,0.1492233025100272,1.6745807417380625,4415490,5892012,0.0,0.127239108085631
Micronesia,,,0,51707,,,,,0,51707,,,-0.0201825270781645,0.1288255244263121,555,51712,-0.0641330480575561,0.0029864311218261,34.15090080736262,249.137761553874,15049,51707,0.0,0.0,,,0,51718,,,,,0,51701,,,,,0,51701,,,478.0037405303031,8816.772567813812,330,916,0.0,0.0,,,0,51701,,
